OpenTime,TimeStamp,Open,High,Low,Close,TradeVolume,CloseTime,TradeValue,TradeCount,BuyVolume,BuyValue
2018-01-01 00:00:00,20180101000000.0,13715.65,13715.65,13155.38,13410.03,1676.204807,20180101035959.0,22516071.86700722,19438.0,739.518666,9937536.51382895
2018-01-01 04:00:00,20180101040000.0,13434.98,13818.55,13322.15,13570.35,1302.214836,20180101075959.0,17702535.72458806,18061.0,588.516222,7998795.56202577
2018-01-01 08:00:00,20180101080000.0,13569.98,13735.24,13001.13,13220.56,1319.755931,20180101115959.0,17651208.19673553,17200.0,582.668293,7792108.89944124
2018-01-01 12:00:00,20180101120000.0,13220.56,13330.0,12750.0,13247.0,1831.933153,20180101155959.0,23912591.04195568,21357.0,830.314747,10833038.11256361
2018-01-01 16:00:00,20180101160000.0,13247.0,13290.65,12940.0,13240.37,1092.337234,20180101195959.0,14348870.61377443,13178.0,557.453779,7324319.56741969
2018-01-01 20:00:00,20180101200000.0,13222.03,13599.7,13222.03,13380.0,1387.469883,20180101235959.0,18668469.99790965,16361.0,663.467239,8923948.78510119
2018-01-02 00:00:00,20180102000000.0,13382.16,13850.0,13231.96,13353.78,2365.532926,20180102035959.0,32053629.30695065,28312.0,1101.550968,14922284.99928368
2018-01-02 04:00:00,20180102040000.0,13353.78,13480.84,12890.02,13343.0,2980.316053,20180102075959.0,39346268.5682158,22814.0,1662.863627,21968936.12694433
2018-01-02 08:00:00,20180102080000.0,13343.01,13617.28,13302.59,13490.0,2596.182674,20180102115959.0,34930623.29101847,18513.0,1578.448489,21238250.08897336
2018-01-02 12:00:00,20180102120000.0,13490.0,13894.86,13450.46,13690.03,3365.879508,20180102155959.0,45967260.36887162,29401.0,2040.992086,27868676.95295513
2018-01-02 16:00:00,20180102160000.0,13690.02,15473.49,13503.0,14732.75,5090.273483,20180102195959.0,72855897.71757299,49057.0,2865.715043,40982962.10066558
2018-01-02 20:00:00,20180102200000.0,14710.02,15160.31,14544.0,14675.11,3679.907467,20180102235959.0,54563428.18108967,29631.0,2096.756526,31098978.41449474
2018-01-03 00:00:00,20180103000000.0,14690.0,15299.99,14660.0,14818.49,3303.83359,20180103035959.0,49173973.82548296,27105.0,1891.844772,28156547.96179387
2018-01-03 04:00:00,20180103040000.0,14805.81,15307.56,14795.05,15170.0,3211.702067,20180103075959.0,48360266.66122553,27848.0,1929.483604,29055915.17220744
2018-01-03 08:00:00,20180103080000.0,15170.0,15172.99,14150.0,14730.05,4202.802942,20180103115959.0,61658918.83423734,37851.0,2336.728813,34321725.58048602
2018-01-03 12:00:00,20180103120000.0,14764.73,15045.51,14400.04,15033.77,2082.734125,20180103155959.0,30797789.49485227,26696.0,1102.909141,16304128.11822183
2018-01-03 16:00:00,20180103160000.0,15045.0,15130.0,14671.0,14700.01,1659.697353,20180103195959.0,24715811.05097705,24082.0,803.406179,11964263.8607021
2018-01-03 20:00:00,20180103200000.0,14700.01,14990.0,14683.0,14919.51,1444.897562,20180103235959.0,21410108.46941496,19205.0,930.581057,13784752.55193682
2018-01-04 00:00:00,20180104000000.0,14919.51,15280.0,14649.99,15119.97,3062.535646,20180104030014.0,45796189.91854075,25901.0,2038.428731,30438934.40472739
2018-01-04 04:00:00,20180104040000.0,15119.97,15119.97,14685.0,14748.0,2839.900442,20180104075959.0,42215770.4238611,22843.0,1641.084222,24391348.73357355
2018-01-04 08:00:00,20180104080000.0,14734.07,14800.0,13918.04,14539.97,4339.552051,20180104115959.0,62412829.49242401,33344.0,2486.380914,35801090.95618949
2018-01-04 12:00:00,20180104120000.0,14539.99,14653.4,14181.88,14353.01,3960.831185,20180104155959.0,57268257.26960831,32978.0,2253.525956,32591913.1745241
2018-01-04 16:00:00,20180104160000.0,14367.99,14988.0,14238.01,14895.19,3636.616126,20180104195959.0,53122079.99882948,28670.0,2017.323962,29466851.3329567
2018-01-04 20:00:00,20180104200000.0,14905.0,15100.08,14601.0,15059.54,3490.214124,20180104235959.0,51966456.69504417,26574.0,2244.069166,33426654.40961808
2018-01-05 00:00:00,20180105000000.0,15059.56,15200.0,14642.0,14965.37,3624.97469,20180105035959.0,54425916.13053777,28051.0,2174.337796,32654292.68768129
2018-01-05 04:00:00,20180105040000.0,14970.0,15083.63,14600.0,14920.14,3434.498779,20180105075959.0,51210966.01015937,26622.0,2038.483715,30407212.00850243
