TimeStamp	ClosePrice	TradeVolume	BuyVolume	Return	PriceTime
2020-12-31 08:00:00	745.32	101891331.6040868	48186491.5012996	-0.012504695969516533	2020-12-31 08:00:00
2020-12-31 12:00:00	736.0	170972883.0109979	85554693.8307509	0.003845108695652133	2020-12-31 12:00:00
2020-12-31 16:00:00	738.83	88512906.4036872	46329255.7536682	-0.003261914107440256	2020-12-31 16:00:00
2020-12-31 20:00:00	736.42	47337589.5091425	24860568.3274434	0.011406534314657435	2020-12-31 20:00:00
2021-01-01 00:00:00	744.82	97105337.1678303	51665342.5686765	-0.009988990628608363	2021-01-01 00:00:00
2021-01-01 04:00:00	737.38	53652717.5373186	26716495.2141921	0.001993544712360018	2021-01-01 04:00:00
2021-01-01 08:00:00	738.85	94014242.5380369	45617214.7026484	-0.004682953238140386	2021-01-01 08:00:00
2021-01-01 12:00:00	735.39	89663737.5792228	48628581.1951458	-0.013666217925182522	2021-01-01 12:00:00
2021-01-01 16:00:00	725.34	113798232.016046	52374719.3814557	0.004921829762593921	2021-01-01 16:00:00
2021-01-01 20:00:00	728.91	47837776.9389528	24238020.8765654	0.002030428996721234	2021-01-01 20:00:00
2021-01-02 00:00:00	730.39	86463766.6670002	44600367.9041979	0.0064759922780979196	2021-01-02 00:00:00
2021-01-02 04:00:00	735.12	71868616.4501491	37344306.6145534	-0.007372945913592277	2021-01-02 04:00:00
2021-01-02 08:00:00	729.7	87831972.884946	43552882.6841255	0.05307660682472237	2021-01-02 08:00:00
2021-01-02 12:00:00	768.43	324368938.891346	171655095.9838071	0.021290163059745293	2021-01-02 12:00:00
2021-01-02 16:00:00	784.79	259913296.097379	132129725.5903083	-0.013035334293250433	2021-01-02 16:00:00
2021-01-02 20:00:00	774.56	194025591.6212667	90633448.2344933	-0.00282741169179912	2021-01-02 20:00:00
2021-01-03 00:00:00	772.37	88725026.6699457	42897754.8915837	0.03548817276693805	2021-01-03 00:00:00
2021-01-03 04:00:00	799.78	226063792.5425455	119374101.6686066	0.03748530845982656	2021-01-03 04:00:00
2021-01-03 08:00:00	829.76	273481403.148565	142535354.6344105	0.1060065561126109	2021-01-03 08:00:00
2021-01-03 12:00:00	917.72	618527281.189163	320098541.3121241	0.004151593078498772	2021-01-03 12:00:00
2021-01-03 16:00:00	921.53	754876661.0758147	363785699.5101992	0.06158236845246501	2021-01-03 16:00:00
2021-01-03 20:00:00	978.28	560737695.1055758	301574823.5762247	0.044087582287279714	2021-01-03 20:00:00
2021-01-04 00:00:00	1021.41	424203777.4598096	223371568.9866141	0.02241998805572676	2021-01-04 00:00:00
2021-01-04 04:00:00	1044.31	1072902193.9202002	551739648.0174665	-0.06464555543851924	2021-01-04 04:00:00
2021-01-04 08:00:00	976.8	1144304917.76406	559810922.681016	0.06471130221130217	2021-01-04 08:00:00
2021-01-04 12:00:00	1040.01	825886889.2964481	397939032.2993458	0.0021826713204680104	2021-01-04 12:00:00
2021-01-04 16:00:00	1042.28	546825774.075543	275570578.0164351	-0.0008155198219287341	2021-01-04 16:00:00
2021-01-04 20:00:00	1041.43	289510650.7035376	149207269.3283138	-0.038091854469335495	2021-01-04 20:00:00
2021-01-05 00:00:00	1001.76	813585476.2728204	402792953.8795446	0.001687030825746838	2021-01-05 00:00:00
2021-01-05 04:00:00	1003.45	528194740.6575195	263658518.5711126	0.03862673775474601	2021-01-05 04:00:00
2021-01-05 08:00:00	1042.21	335122307.677517	166217297.7668646	0.010180289960756372	2021-01-05 08:00:00
2021-01-05 12:00:00	1052.82	337526577.2689778	165829569.4579043	0.04132710244866167	2021-01-05 12:00:00
2021-01-05 16:00:00	1096.33	492838182.4081986	240058653.3026243	0.0029461932082492925	2021-01-05 16:00:00
2021-01-05 20:00:00	1099.56	349782995.723109	173994459.8755077	-0.02189057441158271	2021-01-05 20:00:00
2021-01-06 00:00:00	1075.49	293212938.6285132	144890298.8219014	0.028917051762452406	2021-01-06 00:00:00
2021-01-06 04:00:00	1106.59	441456899.0283067	230295888.4190236	0.04092753413640127	2021-01-06 04:00:00
2021-01-06 08:00:00	1151.88	479187483.0641908	255961433.9198211	-0.006936486439559686	2021-01-06 08:00:00
2021-01-06 12:00:00	1143.89	405448745.5900846	198241135.9792172	0.014765405764540107	2021-01-06 12:00:00
2021-01-06 16:00:00	1160.78	609775143.8723416	315801292.4301378	0.04104136873481634	2021-01-06 16:00:00
2021-01-06 20:00:00	1208.42	496180911.1050762	256049430.9604782	0.0039307525529204135	2021-01-06 20:00:00
2021-01-07 00:00:00	1213.17	333262481.9170627	168480836.9161212	-0.02222277174674614	2021-01-07 00:00:00
2021-01-07 04:00:00	1186.21	268883282.4563716	130531636.9363991	0.01256944385901293	2021-01-07 04:00:00
2021-01-07 08:00:00	1201.12	284280608.5180713	140793143.4822087	0.040553816437991275	2021-01-07 08:00:00
2021-01-07 12:00:00	1249.83	392230181.1001034	203691868.9890263	-0.012553707304193251	2021-01-07 12:00:00
2021-01-07 16:00:00	1234.14	799738431.2816199	381819545.1846392	-0.007511303417764736	2021-01-07 16:00:00
2021-01-07 20:00:00	1224.87	327824906.0953054	164428994.6429899	-0.06104321274910807	2021-01-07 20:00:00
2021-01-08 00:00:00	1150.1	525210887.7866639	237739291.0387971	0.05070863403182346	2021-01-08 00:00:00
2021-01-08 04:00:00	1208.42	370551271.1633175	187132156.3427805	0.03890203737111264	2021-01-08 04:00:00
2021-01-08 08:00:00	1255.43	419331465.1853372	222778631.5507944	-0.03079422986546454	2021-01-08 08:00:00
