index,ret,max_drawdown,std
SP500,1.6463548,0.3392496,0.20984763
TNX,1.622778,0.7142039,1.0015945
NSDQ,2.1155474,0.30115673,0.37665203
GOLD,1.3676639,0.18220817,0.18964568
