index,ret,max_drawdown,std
macd_BTCUSDT,6.0691175,0.676639,1.720384
macd_ETHUSDT,5.581198,0.80057806,1.8361633
macd_SP500,1.3524656,0.1473657,0.12458266
macd_NSDQ,1.5264755,0.15740097,0.22911577
