State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
AL,LOWNDES COUNTY,"3,819","3,376",443,11.6,73.7,-0.41,17800.0,0.418,0.4,10.0,-1.4098257839721255
AL,MACON COUNTY,"7,951","7,307",644,8.1,73.073,-0.56,18000.0,0.336,0.3,10.0,-1.4098257839721255
AL,MADISON COUNTY,"170,473","161,071","9,402",5.5,76.799,-1.25,31200.0,0.453,0.5,5.0,-1.4098257839721255
AL,MARENGO COUNTY,"7,387","6,820",567,7.7,75.2,-0.72,24600.0,0.519,0.5,10.0,-1.4098257839721255
AL,MARION COUNTY,"12,453","11,583",870,7.0,74.357,-0.31,34500.0,0.397,0.4,5.0,-1.4098257839721255
AL,MARSHALL COUNTY,"40,290","37,944","2,346",5.8,74.833,0.37,31800.0,0.455,0.5,5.0,-1.4098257839721255
AL,MOBILE COUNTY,"186,483","173,586","12,897",6.9,74.16,1.52,24900.0,0.545,0.5,5.0,-1.4098257839721255
AL,MONROE COUNTY,"7,324","6,583",741,10.1,75.043,1.27,26100.0,0.483,0.5,10.0,-1.4098257839721255
AL,MONTGOMERY COUNTY,"104,799","98,376","6,423",6.1,74.52,-0.28,22500.0,0.622,0.6,5.0,-1.4098257839721255
AL,MORGAN COUNTY,"54,782","51,538","3,244",5.9,75.65,1.09,31600.0,0.424,0.4,5.0,-1.4098257839721255
AL,PERRY COUNTY,"3,478","3,129",349,10.0,73.9,0.84,17500.0,0.419,0.4,10.0,-1.4098257839721255
AL,PICKENS COUNTY,"7,987","7,445",542,6.8,74.32,0.13,22500.0,0.405,0.4,5.0,-1.4098257839721255
AL,PIKE COUNTY,"14,904","13,918",986,6.6,75.429,-0.93,25300.0,0.653,0.7,5.0,-1.4098257839721255
AL,RANDOLPH COUNTY,"9,410","8,852",558,5.9,74.45,0.71,24400.0,0.412,0.4,5.0,-1.4098257839721255
AL,RUSSELL COUNTY,"24,051","22,614","1,437",6.0,72.8,-0.24,22700.0,0.39,0.4,5.0,-1.4098257839721255
AL,SHELBY COUNTY,"107,932","103,362","4,570",4.2,78.356,1.12,39500.0,0.439,0.4,5.0,-1.4098257839721255
AL,ST. CLAIR COUNTY,"38,470","36,452","2,018",5.2,74.708,1.39,31500.0,0.412,0.4,5.0,-1.4098257839721255
AL,SUMTER COUNTY,"5,096","4,687",409,8.0,75.875,-0.48,19400.0,0.56,0.6,10.0,-1.4098257839721255
AL,TALLADEGA COUNTY,"35,052","32,736","2,316",6.6,72.723,1.34,24300.0,0.424,0.4,5.0,-1.4098257839721255
AL,TALLAPOOSA COUNTY,"18,696","17,550","1,146",6.1,74.71,2.19,24000.0,0.446,0.4,5.0,-1.4098257839721255
AL,TUSCALOOSA COUNTY,"98,625","93,229","5,396",5.5,75.021,0.5,27600.0,0.529,0.5,5.0,-1.4098257839721255
AL,WALKER COUNTY,"25,503","23,650","1,853",7.3,71.439,0.51,30900.0,0.414,0.4,5.0,-1.4098257839721255
AL,WASHINGTON COUNTY,"6,685","6,086",599,9.0,74.875,-0.49,33200.0,0.387,0.4,10.0,-1.4098257839721255
AL,WILCOX COUNTY,"2,819","2,404",415,14.7,74.25,1.58,17600.0,0.433,0.4,15.0,-1.4098257839721255
AL,WINSTON COUNTY,"9,354","8,645",709,7.6,74.983,0.88,28700.0,0.5,0.5,10.0,-1.4098257839721255
AZ,APACHE COUNTY,"20,730","17,966","2,764",13.3,75.744,3.45,21100.0,0.364,0.4,15.0,-1.4098257839721255
AZ,COCHISE COUNTY,"50,586","46,891","3,695",7.3,78.164,7.13,31900.0,0.377,0.4,5.0,-1.4098257839721255
AZ,COCONINO COUNTY,"73,669","68,861","4,808",6.5,78.924,4.93,30000.0,0.406,0.4,5.0,-1.4098257839721255
AZ,GILA COUNTY,"21,321","19,633","1,688",7.9,78.508,7.5,28700.0,0.389,0.4,10.0,-1.4098257839721255
AZ,GRAHAM COUNTY,"14,590","13,515","1,075",7.4,78.256,5.2,38400.0,0.326,0.3,5.0,-1.4098257839721255
AZ,GREENLEE COUNTY,"4,068","3,745",323,7.9,82.7,5.18,42400.0,0.181,0.2,10.0,-1.4098257839721255
AZ,LA PAZ COUNTY,"8,217","7,602",615,7.5,76.729,4.24,24500.0,0.485,0.5,10.0,-1.4098257839721255
AZ,MARICOPA COUNTY,"2,033,488","1,928,852","104,636",5.1,78.589,4.87,34300.0,0.487,0.5,5.0,-1.4098257839721255
AZ,MOHAVE COUNTY,"80,004","73,633","6,371",8.0,75.097,5.84,28200.0,0.438,0.4,10.0,-1.4098257839721255
AZ,NAVAJO COUNTY,"40,931","36,963","3,968",9.7,76.659,1.91,24800.0,0.391,0.4,10.0,-1.4098257839721255
AZ,PIMA COUNTY,"467,826","442,099","25,727",5.5,78.306,4.04,29700.0,0.478,0.5,5.0,-1.4098257839721255
AZ,PINAL COUNTY,"158,049","148,079","9,970",6.3,78.603,3.36,25300.0,0.349,0.3,5.0,-1.4098257839721255
AZ,SANTA CRUZ COUNTY,"19,986","17,687","2,299",11.5,81.5,5.95,28700.0,0.583,0.6,10.0,-1.4098257839721255
AZ,YAVAPAI COUNTY,"96,735","91,286","5,449",5.6,78.816,5.21,32200.0,0.444,0.4,5.0,-1.4098257839721255
AZ,YUMA COUNTY,"94,249","73,736","20,513",21.8,78.115,4.24,31600.0,0.464,0.5,20.0,-1.4098257839721255
AR,ARKANSAS COUNTY,"9,534","9,142",392,4.1,74.725,-0.87,29400.0,0.474,0.5,5.0,-1.4098257839721255
AR,ASHLEY COUNTY,"8,397","7,771",626,7.5,76.233,-1.12,28200.0,0.44,0.4,10.0,-1.4098257839721255
AR,BAXTER COUNTY,"16,288","15,407",881,5.4,75.262,2.64,33200.0,0.495,0.5,5.0,-1.4098257839721255
AR,BENTON COUNTY,"122,348","117,802","4,546",3.7,78.14,2.39,35300.0,0.612,0.6,5.0,-1.4098257839721255
AR,BOONE COUNTY,"15,909","15,145",764,4.8,76.486,1.98,34900.0,0.439,0.4,5.0,-1.4098257839721255
AR,BRADLEY COUNTY,"4,575","4,314",261,5.7,73.32,-1.06,29900.0,0.429,0.4,5.0,-1.4098257839721255
AR,CALHOUN COUNTY,"2,429","2,300",129,5.3,74.6,-1.35,35853.245749613605,0.3810850077279752,0.4,5.0,-1.4098257839721255
AR,CARROLL COUNTY,"12,711","12,138",573,4.5,76.96,1.75,31700.0,0.4,0.4,5.0,-1.4098257839721255
AR,CHICOT COUNTY,"3,743","3,408",335,9.0,74.45,-0.45,19100.0,0.447,0.4,10.0,-1.4098257839721255
AR,CLARK COUNTY,"9,663","9,144",519,5.4,74.98,1.15,28000.0,0.467,0.5,5.0,-1.4098257839721255
AR,CLAY COUNTY,"6,323","5,911",412,6.5,73.667,-2.3,31000.0,0.378,0.4,5.0,-1.4098257839721255
AR,CLEBURNE COUNTY,"9,655","8,996",659,6.8,76.714,2.19,35700.0,0.409,0.4,5.0,-1.4098257839721255
AR,CLEVELAND COUNTY,"3,371","3,184",187,5.5,76.75,-1.59,29100.0,0.39,0.4,5.0,-1.4098257839721255
AR,COLUMBIA COUNTY,"9,599","8,982",617,6.4,77.14,-1.63,28500.0,0.444,0.4,5.0,-1.4098257839721255
AR,CONWAY COUNTY,"8,682","8,161",521,6.0,75.05,-0.42,33700.0,0.364,0.4,5.0,-1.4098257839721255
AR,CRAIGHEAD COUNTY,"51,214","48,977","2,237",4.4,75.782,-2.24,31900.0,0.479,0.5,5.0,-1.4098257839721255
AR,CRAWFORD COUNTY,"26,962","25,582","1,380",5.1,75.527,1.44,30200.0,0.377,0.4,5.0,-1.4098257839721255
AR,CRITTENDEN COUNTY,"21,503","20,198","1,305",6.1,73.306,-1.05,19700.0,0.484,0.5,5.0,-1.4098257839721255
AR,CROSS COUNTY,"8,135","7,701",434,5.3,73.8,-0.95,24400.0,0.455,0.5,5.0,-1.4098257839721255
AR,DALLAS COUNTY,"2,987","2,782",205,6.9,74.2,-1.85,23200.0,0.391,0.4,5.0,-1.4098257839721255
AR,DESHA COUNTY,"5,579","5,178",401,7.2,75.08,-1.04,21200.0,0.432,0.4,5.0,-1.4098257839721255
AR,DREW COUNTY,"8,115","7,568",547,6.7,75.56,-1.24,26900.0,0.466,0.5,5.0,-1.4098257839721255
AR,FAULKNER COUNTY,"60,161","57,396","2,765",4.6,76.009,-0.08,39400.0,0.389,0.4,5.0,-1.4098257839721255
AR,FRANKLIN COUNTY,"7,442","7,080",362,4.9,74.7,2.05,34300.0,0.37,0.4,5.0,-1.4098257839721255
AR,FULTON COUNTY,"4,779","4,534",245,5.1,76.6,0.51,33200.0,0.372,0.4,5.0,-1.4098257839721255
AR,GARLAND COUNTY,"40,111","37,950","2,161",5.4,74.284,1.64,29200.0,0.563,0.6,5.0,-1.4098257839721255
AR,GRANT COUNTY,"8,293","7,921",372,4.5,75.625,-1.77,38000.0,0.361,0.4,5.0,-1.4098257839721255
AR,GREENE COUNTY,"20,036","19,012","1,024",5.1,75.6,-2.0,31200.0,0.358,0.4,5.0,-1.4098257839721255
AR,HEMPSTEAD COUNTY,"9,965","9,483",482,4.8,76.72,-0.65,23700.0,0.394,0.4,5.0,-1.4098257839721255
AR,HOT SPRING COUNTY,"14,260","13,552",708,5.0,73.414,0.49,29600.0,0.342,0.3,5.0,-1.4098257839721255
AR,HOWARD COUNTY,"6,110","5,856",254,4.2,74.533,0.99,25800.0,0.35,0.3,5.0,-1.4098257839721255
AR,INDEPENDENCE COUNTY,"15,733","14,731","1,002",6.4,76.557,0.09,35900.0,0.353,0.4,5.0,-1.4098257839721255
AR,IZARD COUNTY,"4,999","4,673",326,6.5,78.45,1.44,30100.0,0.365,0.4,5.0,-1.4098257839721255
AR,JACKSON COUNTY,"6,212","5,750",462,7.4,74.42,-1.85,24000.0,0.464,0.5,5.0,-1.4098257839721255
AR,JEFFERSON COUNTY,"28,882","26,872","2,010",7.0,73.217,-1.08,23500.0,0.473,0.5,5.0,-1.4098257839721255
AR,JOHNSON COUNTY,"10,446","9,854",592,5.7,77.317,2.37,32600.0,0.418,0.4,5.0,-1.4098257839721255
AR,LAFAYETTE COUNTY,"2,658","2,461",197,7.4,73.55,-0.59,19000.0,0.363,0.4,5.0,-1.4098257839721255
AR,LAWRENCE COUNTY,"7,075","6,655",420,5.9,76.95,-0.1,31100.0,0.326,0.3,5.0,-1.4098257839721255
AR,LEE COUNTY,"3,194","2,984",210,6.6,73.475,-0.42,20300.0,0.432,0.4,5.0,-1.4098257839721255
AR,LINCOLN COUNTY,"4,143","3,892",251,6.1,76.025,-1.24,23500.0,0.291,0.3,5.0,-1.4098257839721255
AR,LITTLE RIVER COUNTY,"5,617","5,315",302,5.4,75.6,-0.06,28200.0,0.382,0.4,5.0,-1.4098257839721255
AR,LOGAN COUNTY,"9,204","8,682",522,5.7,75.883,1.75,32100.0,0.339,0.3,5.0,-1.4098257839721255
AR,LONOKE COUNTY,"33,138","31,769","1,369",4.1,75.0,-0.79,33300.0,0.343,0.3,5.0,-1.4098257839721255
