State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
IA,CHEROKEE COUNTY,"6,340","6,015",325,5.1,80.05,-2.66,57500.0,0.264,0.3,5.0,-0.471671388101983
IA,CHICKASAW COUNTY,"6,455","6,167",288,4.5,81.275,-3.65,57200.0,0.346,0.3,5.0,-0.471671388101983
IA,CLARKE COUNTY,"4,768","4,575",193,4.0,78.033,-2.42,43700.0,0.243,0.2,5.0,-0.471671388101983
IA,CLAY COUNTY,"8,850","8,533",317,3.6,80.05,-2.52,48200.0,0.365,0.4,5.0,-0.471671388101983
IA,CLAYTON COUNTY,"10,290","9,868",422,4.1,79.7,-1.01,50500.0,0.314,0.3,5.0,-0.471671388101983
IA,CLINTON COUNTY,"24,428","23,219","1,209",4.9,77.908,-2.35,44500.0,0.306,0.3,5.0,-0.471671388101983
IA,CRAWFORD COUNTY,"8,749","8,386",363,4.1,78.38,-1.89,52500.0,0.301,0.3,5.0,-0.471671388101983
IA,DALLAS COUNTY,"43,682","42,443","1,239",2.8,81.527,-2.56,45700.0,0.318,0.3,5.0,-0.471671388101983
IA,DAVIS COUNTY,"4,176","3,992",184,4.4,80.5,-1.96,44700.0,0.278,0.3,5.0,-0.471671388101983
IA,DECATUR COUNTY,"4,429","4,285",144,3.3,78.733,-2.04,35600.0,0.25,0.2,5.0,-0.471671388101983
IA,DELAWARE COUNTY,"10,684","10,327",357,3.3,78.7,-3.45,54900.0,0.273,0.3,5.0,-0.471671388101983
IA,DES MOINES COUNTY,"20,514","19,555",959,4.7,78.482,-2.04,39500.0,0.35,0.3,5.0,-0.471671388101983
IA,DICKINSON COUNTY,"10,209","9,816",393,3.8,79.94,-1.51,43500.0,0.46,0.5,5.0,-0.471671388101983
IA,DUBUQUE COUNTY,"55,719","53,699","2,020",3.6,79.008,-0.79,53700.0,0.346,0.3,5.0,-0.471671388101983
IA,EMMET COUNTY,"5,664","5,455",209,3.7,77.8,-2.1,50900.0,0.254,0.3,5.0,-0.471671388101983
IA,FAYETTE COUNTY,"10,812","10,327",485,4.5,78.414,-4.09,52600.0,0.274,0.3,5.0,-0.471671388101983
IA,FLOYD COUNTY,"8,700","8,375",325,3.7,79.7,-4.03,50100.0,0.322,0.3,5.0,-0.471671388101983
IA,FRANKLIN COUNTY,"5,958","5,760",198,3.3,81.3,-4.18,44800.0,0.4,0.4,5.0,-0.471671388101983
IA,FREMONT COUNTY,"4,149","4,013",136,3.3,77.5,-0.81,46800.0,0.222,0.2,5.0,-0.471671388101983
IA,GREENE COUNTY,"5,570","5,376",194,3.5,78.425,-2.37,42700.0,0.301,0.3,5.0,-0.471671388101983
IA,GRUNDY COUNTY,"6,732","6,479",253,3.8,80.725,-4.86,56000.0,0.227,0.2,5.0,-0.471671388101983
IA,GUTHRIE COUNTY,"5,622","5,412",210,3.7,80.433,-1.19,46200.0,0.278,0.3,5.0,-0.471671388101983
IA,HAMILTON COUNTY,"7,228","6,924",304,4.2,80.2,-3.74,45400.0,0.252,0.3,5.0,-0.471671388101983
IA,HANCOCK COUNTY,"6,367","6,196",171,2.7,79.625,-4.06,53300.0,0.204,0.2,5.0,-0.471671388101983
IA,HARDIN COUNTY,"8,815","8,470",345,3.9,80.033,-3.63,51100.0,0.256,0.3,5.0,-0.471671388101983
IA,HARRISON COUNTY,"7,538","7,285",253,3.4,77.16,-1.06,46100.0,0.259,0.3,5.0,-0.471671388101983
IA,HENRY COUNTY,"9,597","9,225",372,3.9,79.76,-2.95,45700.0,0.296,0.3,5.0,-0.471671388101983
IA,HOWARD COUNTY,"5,376","5,185",191,3.6,78.567,-4.16,50400.0,0.235,0.2,5.0,-0.471671388101983
IA,HUMBOLDT COUNTY,"5,343","5,167",176,3.3,81.15,-4.05,51600.0,0.284,0.3,5.0,-0.471671388101983
IA,IDA COUNTY,"3,961","3,839",122,3.1,79.3,-2.14,53200.0,0.34,0.3,5.0,-0.471671388101983
IA,IOWA COUNTY,"10,383","10,022",361,3.5,79.85,-3.84,50900.0,0.361,0.4,5.0,-0.471671388101983
IA,JACKSON COUNTY,"11,165","10,700",465,4.2,78.683,-0.85,47500.0,0.295,0.3,5.0,-0.471671388101983
IA,JASPER COUNTY,"19,105","18,371",734,3.8,79.044,-3.19,43800.0,0.309,0.3,5.0,-0.471671388101983
IA,JEFFERSON COUNTY,"9,151","8,803",348,3.8,80.3,-3.35,42300.0,0.61,0.6,5.0,-0.471671388101983
IA,JOHNSON COUNTY,"83,898","81,684","2,214",2.6,82.142,-2.64,46000.0,0.371,0.4,5.0,-0.471671388101983
IA,JONES COUNTY,"10,781","10,335",446,4.1,80.84,-3.45,48800.0,0.266,0.3,5.0,-0.471671388101983
IA,KEOKUK COUNTY,"5,424","5,195",229,4.2,79.775,-3.95,50600.0,0.26,0.3,5.0,-0.471671388101983
IA,KOSSUTH COUNTY,"8,835","8,585",250,2.8,79.75,-4.47,54000.0,0.276,0.3,5.0,-0.471671388101983
IA,LEE COUNTY,"18,265","17,293",972,5.3,76.927,-1.95,40200.0,0.314,0.3,5.0,-0.471671388101983
IA,LINN COUNTY,"120,196","115,687","4,509",3.8,79.33,-2.83,44800.0,0.332,0.3,5.0,-0.471671388101983
IA,LOUISA COUNTY,"6,025","5,799",226,3.8,80.7,-1.83,45300.0,0.258,0.3,5.0,-0.471671388101983
IA,LUCAS COUNTY,"4,402","4,248",154,3.5,77.3,-2.61,45500.0,0.312,0.3,5.0,-0.471671388101983
IA,LYON COUNTY,"7,064","6,924",140,2.0,81.067,-4.49,57500.0,0.24,0.2,0.0,-0.471671388101983
IA,MADISON COUNTY,"8,235","7,916",319,3.9,80.2,-2.15,46100.0,0.284,0.3,5.0,-0.471671388101983
IA,MAHASKA COUNTY,"11,836","11,372",464,3.9,78.229,-1.82,45600.0,0.303,0.3,5.0,-0.471671388101983
IA,MARION COUNTY,"17,435","16,870",565,3.2,78.675,-2.28,50400.0,0.275,0.3,5.0,-0.471671388101983
IA,MARSHALL COUNTY,"19,435","18,459",976,5.0,79.04,-3.7,45000.0,0.32,0.3,5.0,-0.471671388101983
IA,MILLS COUNTY,"7,425","7,125",300,4.0,76.275,-1.0,44000.0,0.508,0.5,5.0,-0.471671388101983
IA,MITCHELL COUNTY,"5,596","5,440",156,2.8,81.1,-4.1,52500.0,0.284,0.3,5.0,-0.471671388101983
IA,MONONA COUNTY,"4,762","4,555",207,4.3,75.6,-1.03,43500.0,0.335,0.3,5.0,-0.471671388101983
IA,MONROE COUNTY,"4,038","3,860",178,4.4,76.467,-2.36,43600.0,0.304,0.3,5.0,-0.471671388101983
IA,MONTGOMERY COUNTY,"5,171","4,989",182,3.5,77.925,-1.67,44400.0,0.308,0.3,5.0,-0.471671388101983
IA,MUSCATINE COUNTY,"22,214","21,364",850,3.8,80.15,-2.37,42100.0,0.314,0.3,5.0,-0.471671388101983
IA,OSCEOLA COUNTY,"3,545","3,445",100,2.8,82.1,-3.19,50900.0,0.244,0.2,5.0,-0.471671388101983
IA,PAGE COUNTY,"6,570","6,301",269,4.1,78.883,-1.83,46000.0,0.316,0.3,5.0,-0.471671388101983
IA,PALO ALTO COUNTY,"4,865","4,716",149,3.1,78.4,-2.29,54000.0,0.328,0.3,5.0,-0.471671388101983
IA,PLYMOUTH COUNTY,"14,793","14,380",413,2.8,80.75,-2.69,56800.0,0.277,0.3,5.0,-0.471671388101983
IA,POCAHONTAS COUNTY,"4,311","4,181",130,3.0,77.6,-2.95,55800.0,0.226,0.2,5.0,-0.471671388101983
IA,POLK COUNTY,"255,669","246,352","9,317",3.6,78.433,-2.13,43100.0,0.429,0.4,5.0,-0.471671388101983
IA,POWESHIEK COUNTY,"10,510","10,134",376,3.6,79.04,-3.42,50400.0,0.307,0.3,5.0,-0.471671388101983
IA,RINGGOLD COUNTY,"2,567","2,482",85,3.3,75.7,-1.9,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
IA,SAC COUNTY,"5,642","5,456",186,3.3,79.65,-1.45,53600.0,0.314,0.3,5.0,-0.471671388101983
IA,SCOTT COUNTY,"87,907","83,842","4,065",4.6,78.368,-2.39,41900.0,0.381,0.4,5.0,-0.471671388101983
IA,SHELBY COUNTY,"7,020","6,821",199,2.8,79.05,-2.01,52100.0,0.32,0.3,5.0,-0.471671388101983
IA,SIOUX COUNTY,"20,763","20,258",505,2.4,82.171,-3.7,59300.0,0.36,0.4,0.0,-0.471671388101983
IA,STORY COUNTY,"57,440","56,019","1,421",2.5,81.092,-3.54,51600.0,0.313,0.3,5.0,-0.471671388101983
IA,TAMA COUNTY,"9,668","9,251",417,4.3,79.667,-3.34,45900.0,0.264,0.3,5.0,-0.471671388101983
IA,TAYLOR COUNTY,"3,240","3,138",102,3.1,78.833,-1.44,46300.0,0.253,0.3,5.0,-0.471671388101983
IA,UNION COUNTY,"6,576","6,304",272,4.1,77.975,-1.83,43900.0,0.377,0.4,5.0,-0.471671388101983
IA,VAN BUREN COUNTY,"3,841","3,687",154,4.0,79.1,-1.07,43800.0,0.29,0.3,5.0,-0.471671388101983
IA,WAPELLO COUNTY,"18,008","17,090",918,5.1,77.309,-1.4,38400.0,0.408,0.4,5.0,-0.471671388101983
IA,WARREN COUNTY,"26,711","25,805",906,3.4,79.717,-2.16,49200.0,0.284,0.3,5.0,-0.471671388101983
IA,WASHINGTON COUNTY,"12,392","12,009",383,3.1,79.9,-3.28,41000.0,0.286,0.3,5.0,-0.471671388101983
IA,WAYNE COUNTY,"2,850","2,739",111,3.9,78.6,-1.9,45200.0,0.307,0.3,5.0,-0.471671388101983
IA,WEBSTER COUNTY,"20,353","19,483",870,4.3,76.508,-3.2,42100.0,0.408,0.4,5.0,-0.471671388101983
IA,WINNEBAGO COUNTY,"5,170","4,967",203,3.9,80.633,-3.81,49200.0,0.237,0.2,5.0,-0.471671388101983
IA,WINNESHIEK COUNTY,"12,229","11,785",444,3.6,82.04,-4.44,52300.0,0.286,0.3,5.0,-0.471671388101983
IA,WOODBURY COUNTY,"56,200","54,099","2,101",3.7,77.468,-1.51,41200.0,0.409,0.4,5.0,-0.471671388101983
IA,WORTH COUNTY,"4,228","4,061",167,3.9,78.8,-3.51,45500.0,0.284,0.3,5.0,-0.471671388101983
IA,WRIGHT COUNTY,"6,908","6,641",267,3.9,79.14,-3.56,45000.0,0.273,0.3,5.0,-0.471671388101983
KS,ALLEN COUNTY,"6,623","6,284",339,5.1,75.96,-1.43,33400.0,0.351,0.4,5.0,-0.471671388101983
KS,ANDERSON COUNTY,"4,144","3,945",199,4.8,79.75,-2.42,40000.0,0.274,0.3,5.0,-0.471671388101983
KS,ATCHISON COUNTY,"7,490","7,031",459,6.1,76.95,-0.76,40900.0,0.355,0.4,5.0,-0.471671388101983
KS,BARBER COUNTY,"2,669","2,556",113,4.2,76.35,-1.28,49700.0,0.231,0.2,5.0,-0.471671388101983
KS,BARTON COUNTY,"14,629","14,013",616,4.2,78.412,-0.88,45600.0,0.298,0.3,5.0,-0.471671388101983
KS,BOURBON COUNTY,"7,138","6,796",342,4.8,75.78,-1.85,36600.0,0.353,0.4,5.0,-0.471671388101983
KS,BROWN COUNTY,"5,370","5,156",214,4.0,76.967,-2.64,45700.0,0.302,0.3,5.0,-0.471671388101983
KS,BUTLER COUNTY,"32,119","30,752","1,367",4.3,77.577,0.58,42700.0,0.282,0.3,5.0,-0.471671388101983
KS,CHASE COUNTY,"1,255","1,210",45,3.6,78.9,-0.88,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,CHAUTAUQUA COUNTY,"1,556","1,467",89,5.7,77.4,0.23,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,CHEROKEE COUNTY,"10,441","9,978",463,4.4,74.633,-0.98,32900.0,0.465,0.5,5.0,-0.471671388101983
KS,CHEYENNE COUNTY,"1,361","1,324",37,2.7,81.4,-0.14,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,CLARK COUNTY,"1,162","1,134",28,2.4,86.6,0.22,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,CLAY COUNTY,"4,128","3,951",177,4.3,78.15,-0.8,44000.0,0.372,0.4,5.0,-0.471671388101983
KS,CLOUD COUNTY,"4,323","4,159",164,3.8,76.875,-1.49,46800.0,0.367,0.4,5.0,-0.471671388101983
KS,COFFEY COUNTY,"4,753","4,482",271,5.7,77.033,-0.95,45100.0,0.264,0.3,5.0,-0.471671388101983
KS,COMANCHE COUNTY,994,961,33,3.3,76.5,-1.26,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,COWLEY COUNTY,"17,088","16,307",781,4.6,76.382,-1.25,36700.0,0.334,0.3,5.0,-0.471671388101983
KS,CRAWFORD COUNTY,"18,978","18,012",966,5.1,76.609,-1.0,36700.0,0.355,0.4,5.0,-0.471671388101983
KS,DECATUR COUNTY,"1,354","1,305",49,3.6,78.1,-0.83,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,DICKINSON COUNTY,"9,545","9,052",493,5.2,77.983,-0.96,39100.0,0.295,0.3,5.0,-0.471671388101983
KS,DONIPHAN COUNTY,"4,330","4,143",187,4.3,80.4,-2.07,45700.0,0.255,0.3,5.0,-0.471671388101983
KS,DOUGLAS COUNTY,"64,936","62,542","2,394",3.7,80.145,0.36,35100.0,0.381,0.4,5.0,-0.471671388101983
KS,EDWARDS COUNTY,"1,754","1,701",53,3.0,78.3,-3.01,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,ELK COUNTY,"1,283","1,222",61,4.8,77.5,0.13,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,ELLIS COUNTY,"17,569","17,044",525,3.0,79.1,-2.31,48100.0,0.328,0.3,5.0,-0.471671388101983
KS,ELLSWORTH COUNTY,"2,946","2,838",108,3.7,77.45,-0.19,47200.0,0.282,0.3,5.0,-0.471671388101983
KS,FINNEY COUNTY,"20,184","19,473",711,3.5,77.98,-0.35,39800.0,0.392,0.4,5.0,-0.471671388101983
KS,FORD COUNTY,"18,110","17,495",615,3.4,79.943,-0.84,37900.0,0.402,0.4,5.0,-0.471671388101983
KS,FRANKLIN COUNTY,"14,139","13,493",646,4.6,77.14,-1.97,39100.0,0.272,0.3,5.0,-0.471671388101983
KS,GEARY COUNTY,"12,142","11,391",751,6.2,76.957,0.39,27200.0,0.287,0.3,5.0,-0.471671388101983
KS,GOVE COUNTY,"1,490","1,453",37,2.5,80.0,-1.79,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,GRAHAM COUNTY,"1,276","1,225",51,4.0,78.3,-1.28,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,GRANT COUNTY,"3,913","3,773",140,3.6,79.1,-0.97,43500.0,0.268,0.3,5.0,-0.471671388101983
KS,GRAY COUNTY,"3,610","3,527",83,2.3,86.15,-0.96,47700.0,0.312,0.3,0.0,-0.471671388101983
KS,GREELEY COUNTY,937,917,20,2.1,77.2,-1.8,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,GREENWOOD COUNTY,"3,298","3,147",151,4.6,76.1,0.66,39700.0,0.41,0.4,5.0,-0.471671388101983
KS,HAMILTON COUNTY,"1,657","1,624",33,2.0,78.2,-0.59,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,HARPER COUNTY,"2,863","2,752",111,3.9,75.633,-1.26,45600.0,0.301,0.3,5.0,-0.471671388101983
KS,HARVEY COUNTY,"17,254","16,582",672,3.9,79.733,-1.71,41700.0,0.29,0.3,5.0,-0.471671388101983
KS,HASKELL COUNTY,"2,365","2,306",59,2.5,88.6,-0.61,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,HODGEMAN COUNTY,"1,030",998,32,3.1,81.8,-0.94,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,JACKSON COUNTY,"7,259","6,990",269,3.7,79.433,-2.85,46300.0,0.232,0.2,5.0,-0.471671388101983
KS,JEFFERSON COUNTY,"10,214","9,787",427,4.2,77.85,-1.06,42800.0,0.236,0.2,5.0,-0.471671388101983
KS,JEWELL COUNTY,"1,378","1,318",60,4.4,79.9,-0.2,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,JOHNSON COUNTY,"325,565","314,557","11,008",3.4,80.718,-1.69,49000.0,0.329,0.3,5.0,-0.471671388101983
KS,KEARNY COUNTY,"2,154","2,086",68,3.2,78.4,-0.36,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,KINGMAN COUNTY,"3,659","3,500",159,4.3,78.767,-0.77,45800.0,0.278,0.3,5.0,-0.471671388101983
KS,KIOWA COUNTY,"1,452","1,409",43,3.0,80.8,-2.08,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,LABETTE COUNTY,"10,782","10,164",618,5.7,75.15,-1.05,37500.0,0.31,0.3,5.0,-0.471671388101983
KS,LANE COUNTY,880,851,29,3.3,79.8,-0.9,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,LEAVENWORTH COUNTY,"35,366","33,776","1,590",4.5,77.336,-0.35,37500.0,0.278,0.3,5.0,-0.471671388101983
KS,LINCOLN COUNTY,"1,802","1,740",62,3.4,80.3,-1.33,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,LINN COUNTY,"4,340","4,062",278,6.4,78.2,-1.53,33300.0,0.344,0.3,5.0,-0.471671388101983
KS,LOGAN COUNTY,"1,760","1,717",43,2.4,79.8,-1.43,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,LYON COUNTY,"16,682","15,966",716,4.3,78.088,-0.48,39600.0,0.33,0.3,5.0,-0.471671388101983
KS,MARION COUNTY,"6,178","5,945",233,3.8,78.1,-0.81,44000.0,0.293,0.3,5.0,-0.471671388101983
KS,MARSHALL COUNTY,"5,751","5,583",168,2.9,78.975,-1.38,55900.0,0.366,0.4,5.0,-0.471671388101983
KS,MCPHERSON COUNTY,"17,228","16,714",514,3.0,78.971,-1.81,47000.0,0.252,0.3,5.0,-0.471671388101983
KS,MEADE COUNTY,"2,425","2,353",72,3.0,80.7,-0.16,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,MIAMI COUNTY,"16,802","16,075",727,4.3,79.7,-1.15,42700.0,0.287,0.3,5.0,-0.471671388101983
KS,MITCHELL COUNTY,"3,785","3,660",125,3.3,77.9,0.32,48600.0,0.254,0.3,5.0,-0.471671388101983
KS,MONTGOMERY COUNTY,"16,619","15,548","1,071",6.4,75.723,-0.81,35600.0,0.346,0.3,5.0,-0.471671388101983
KS,MORRIS COUNTY,"3,112","2,979",133,4.3,78.35,-0.4,39200.0,0.373,0.4,5.0,-0.471671388101983
KS,MORTON COUNTY,"1,439","1,379",60,4.2,85.3,-1.59,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,NEMAHA COUNTY,"5,955","5,803",152,2.6,79.433,-3.62,61600.0,0.317,0.3,5.0,-0.471671388101983
KS,NEOSHO COUNTY,"6,285","5,818",467,7.4,76.88,-1.01,39000.0,0.294,0.3,5.0,-0.471671388101983
KS,NESS COUNTY,"1,542","1,491",51,3.3,78.45,-1.54,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,NORTON COUNTY,"2,957","2,884",73,2.5,80.4,1.57,40600.0,0.285,0.3,5.0,-0.471671388101983
KS,OSAGE COUNTY,"8,078","7,676",402,5.0,78.0,-1.17,39200.0,0.259,0.3,5.0,-0.471671388101983
KS,OSBORNE COUNTY,"2,096","2,023",73,3.5,76.8,-1.07,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,OTTAWA COUNTY,"3,238","3,116",122,3.8,77.25,-1.67,43100.0,0.213,0.2,5.0,-0.471671388101983
KS,PAWNEE COUNTY,"3,316","3,193",123,3.7,77.15,-2.07,42600.0,0.263,0.3,5.0,-0.471671388101983
KS,PHILLIPS COUNTY,"2,962","2,867",95,3.2,76.767,0.15,51600.0,0.277,0.3,5.0,-0.471671388101983
KS,POTTAWATOMIE COUNTY,"11,987","11,550",437,3.6,79.825,-0.09,45800.0,0.27,0.3,5.0,-0.471671388101983
KS,PRATT COUNTY,"5,305","5,091",214,4.0,76.6,-1.42,44700.0,0.333,0.3,5.0,-0.471671388101983
KS,RAWLINS COUNTY,"1,539","1,504",35,2.3,80.9,-1.5,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,RENO COUNTY,"30,925","29,594","1,331",4.3,76.806,-0.42,38500.0,0.364,0.4,5.0,-0.471671388101983
KS,REPUBLIC COUNTY,"2,597","2,526",71,2.7,78.9,-1.61,45300.0,0.279,0.3,5.0,-0.471671388101983
KS,RICE COUNTY,"5,492","5,285",207,3.8,76.633,-1.62,38200.0,0.304,0.3,5.0,-0.471671388101983
KS,RILEY COUNTY,"35,727","34,508","1,219",3.4,80.889,-0.11,40100.0,0.321,0.3,5.0,-0.471671388101983
KS,ROOKS COUNTY,"2,817","2,688",129,4.6,78.0,-0.94,42300.0,0.297,0.3,5.0,-0.471671388101983
KS,RUSH COUNTY,"1,800","1,737",63,3.5,79.65,-2.57,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,RUSSELL COUNTY,"3,744","3,604",140,3.7,79.7,0.12,46600.0,0.278,0.3,5.0,-0.471671388101983
KS,SALINE COUNTY,"30,954","29,791","1,163",3.8,78.033,-1.03,37600.0,0.391,0.4,5.0,-0.471671388101983
KS,SCOTT COUNTY,"2,893","2,813",80,2.8,78.5,-1.5,48000.0,0.329,0.3,5.0,-0.471671388101983
KS,SEDGWICK COUNTY,"247,439","235,654","11,785",4.8,76.978,-0.7,36400.0,0.397,0.4,5.0,-0.471671388101983
KS,SEWARD COUNTY,"10,651","10,193",458,4.3,79.675,-0.21,38700.0,0.383,0.4,5.0,-0.471671388101983
KS,SHAWNEE COUNTY,"91,478","87,603","3,875",4.2,77.512,-1.76,36400.0,0.39,0.4,5.0,-0.471671388101983
KS,SHERIDAN COUNTY,"1,486","1,453",33,2.2,77.9,-1.21,35853.245749613605,0.3810850077279752,0.4,0.0,-0.471671388101983
KS,SHERMAN COUNTY,"3,099","3,009",90,2.9,78.6,-1.34,42300.0,0.341,0.3,5.0,-0.471671388101983
KS,SMITH COUNTY,"2,099","2,018",81,3.9,77.65,-0.94,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,STAFFORD COUNTY,"2,189","2,101",88,4.0,76.4,-1.52,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,STANTON COUNTY,"1,064","1,032",32,3.0,87.9,-1.59,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,STEVENS COUNTY,"3,187","3,068",119,3.7,79.75,-1.18,52000.0,0.339,0.3,5.0,-0.471671388101983
KS,SUMNER COUNTY,"11,109","10,615",494,4.4,76.983,-1.15,41000.0,0.247,0.2,5.0,-0.471671388101983
KS,THOMAS COUNTY,"4,427","4,310",117,2.6,81.75,-1.58,47900.0,0.3,0.3,5.0,-0.471671388101983
KS,TREGO COUNTY,"1,513","1,460",53,3.5,76.0,0.81,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,WABAUNSEE COUNTY,"3,742","3,598",144,3.8,79.2,0.4,49200.0,0.216,0.2,5.0,-0.471671388101983
KS,WALLACE COUNTY,879,855,24,2.7,81.6,-1.45,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,WASHINGTON COUNTY,"3,137","3,039",98,3.1,80.45,-2.95,49000.0,0.278,0.3,5.0,-0.471671388101983
KS,WICHITA COUNTY,"1,258","1,221",37,2.9,78.1,-1.8,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,WILSON COUNTY,"4,019","3,755",264,6.6,74.8,-1.75,34400.0,0.341,0.3,5.0,-0.471671388101983
KS,WOODSON COUNTY,"1,615","1,534",81,5.0,73.5,-0.36,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KS,WYANDOTTE COUNTY,"76,349","71,773","4,576",6.0,75.165,-0.17,26400.0,0.386,0.4,5.0,-0.471671388101983
KY,ADAIR COUNTY,"7,219","6,707",512,7.1,76.014,0.24,27600.0,0.432,0.4,5.0,-0.471671388101983
KY,ALLEN COUNTY,"8,668","8,250",418,4.8,74.533,-1.5,30000.0,0.387,0.4,5.0,-0.471671388101983
KY,ANDERSON COUNTY,"11,339","10,877",462,4.1,75.86,-0.45,35000.0,0.315,0.3,5.0,-0.471671388101983
KY,BALLARD COUNTY,"3,600","3,355",245,6.8,75.9,-0.55,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KY,BARREN COUNTY,"18,429","17,486",943,5.1,75.76,-1.47,35000.0,0.421,0.4,5.0,-0.471671388101983
KY,BATH COUNTY,"4,684","4,327",357,7.6,74.467,0.32,25100.0,0.379,0.4,10.0,-0.471671388101983
KY,BELL COUNTY,"8,719","7,979",740,8.5,74.211,0.12,23500.0,0.488,0.5,10.0,-0.471671388101983
KY,BOONE COUNTY,"65,619","62,983","2,636",4.0,78.433,0.29,41800.0,0.34,0.3,5.0,-0.471671388101983
KY,BOURBON COUNTY,"9,742","9,288",454,4.7,76.98,-3.18,30600.0,0.46,0.5,5.0,-0.471671388101983
KY,BOYD COUNTY,"18,300","17,058","1,242",6.8,74.5,0.28,30200.0,0.526,0.5,5.0,-0.471671388101983
KY,BOYLE COUNTY,"12,015","11,358",657,5.5,76.514,-0.23,31600.0,0.434,0.4,5.0,-0.471671388101983
KY,BRACKEN COUNTY,"3,723","3,492",231,6.2,74.233,0.5,28100.0,0.289,0.3,5.0,-0.471671388101983
KY,BREATHITT COUNTY,"3,814","3,443",371,9.7,70.157,-1.36,20700.0,0.618,0.6,10.0,-0.471671388101983
KY,BRECKINRIDGE COUNTY,"7,651","7,185",466,6.1,74.867,0.35,35700.0,0.43,0.4,5.0,-0.471671388101983
KY,BULLITT COUNTY,"39,420","37,652","1,768",4.5,77.064,-0.87,35700.0,0.305,0.3,5.0,-0.471671388101983
KY,BUTLER COUNTY,"5,092","4,795",297,5.8,75.36,-0.06,35800.0,0.354,0.4,5.0,-0.471671388101983
KY,CALDWELL COUNTY,"5,299","5,006",293,5.5,76.467,-0.52,35900.0,0.362,0.4,5.0,-0.471671388101983
KY,CALLOWAY COUNTY,"18,544","17,693",851,4.6,75.85,-0.58,33600.0,0.494,0.5,5.0,-0.471671388101983
KY,CAMPBELL COUNTY,"47,793","45,840","1,953",4.1,76.292,0.39,39300.0,0.395,0.4,5.0,-0.471671388101983
KY,CARLISLE COUNTY,"2,226","2,096",130,5.8,77.133,-1.03,35853.245749613605,0.3810850077279752,0.4,5.0,-0.471671388101983
KY,CARROLL COUNTY,"5,007","4,733",274,5.5,73.833,0.37,28900.0,0.377,0.4,5.0,-0.471671388101983
KY,CARTER COUNTY,"9,929","8,937",992,10.0,75.286,0.12,29800.0,0.366,0.4,10.0,-0.471671388101983
KY,CASEY COUNTY,"6,504","6,133",371,5.7,75.16,-1.97,26900.0,0.387,0.4,5.0,-0.471671388101983
KY,CHRISTIAN COUNTY,"24,932","23,368","1,564",6.3,75.243,-0.63,27800.0,0.431,0.4,5.0,-0.471671388101983
KY,CLARK COUNTY,"16,870","16,002",868,5.1,74.73,-0.51,27100.0,0.379,0.4,5.0,-0.471671388101983
KY,CLAY COUNTY,"5,282","4,775",507,9.6,72.375,-1.46,23100.0,0.494,0.5,10.0,-0.471671388101983
