OpenTime,TimeStamp,Open,High,Low,Close,TradeVolume,CloseTime,TradeValue,TradeCount,BuyVolume,BuyValue
2018-01-01 00:00:00,20180101000000.0,733.01,737.99,716.8,734.5,8739.23361,20180101035959.0,6350663.7476138,12593.0,4586.02898,3332068.9961047
2018-01-01 04:00:00,20180101040000.0,734.99,763.55,730.01,751.99,9492.34734,20180101075959.0,7108607.0795531,13909.0,5288.53326,3961097.9592861
2018-01-01 08:00:00,20180101080000.0,751.77,759.0,730.58,741.01,8939.36851,20180101115959.0,6670900.2953342,12399.0,4331.8196,3233837.7615108
2018-01-01 12:00:00,20180101120000.0,741.01,752.27,724.15,748.8,11284.08664,20180101155959.0,8340628.1996883,13681.0,5950.39223,4399936.7871775
2018-01-01 16:00:00,20180101160000.0,748.27,749.98,733.0,746.23,7757.00362,20180101195959.0,5760057.4062285,11347.0,3775.43956,2804330.0214699
2018-01-01 20:00:00,20180101200000.0,746.23,762.62,744.39,754.99,7697.21913,20180101235959.0,5818513.8665082,11385.0,4061.00338,3069675.2976216
2018-01-02 00:00:00,20180102000000.0,754.99,899.5,749.06,826.92,34941.91503,20180102035959.0,29279896.2899035,40383.0,18280.90226,15335626.6154197
2018-01-02 04:00:00,20180102040000.0,827.0,857.0,817.0,847.6,15578.17102,20180102075959.0,13098983.821127,18738.0,8406.69719,7072278.2308517
2018-01-02 08:00:00,20180102080000.0,847.6,853.97,825.11,849.1,12119.95908,20180102115959.0,10202281.7581104,15072.0,6424.36811,5409558.1459409
2018-01-02 12:00:00,20180102120000.0,849.57,866.65,835.83,865.56,16398.96539,20180102155959.0,14004574.5988425,20419.0,9088.0745,7757905.0059676
2018-01-02 16:00:00,20180102160000.0,865.56,878.0,810.0,850.97,22615.78318,20180102195959.0,19282177.9482226,30457.0,11554.27353,9889725.1461437
2018-01-02 20:00:00,20180102200000.0,850.94,869.41,831.0,855.28,11602.98985,20180102235959.0,9882031.6442596,17442.0,5544.06746,4728022.582854
2018-01-03 00:00:00,20180103000000.0,855.13,884.98,850.03,853.07,13726.00053,20180103035959.0,11881166.2899026,18557.0,7415.09025,6419189.7602727
2018-01-03 04:00:00,20180103040000.0,854.16,879.53,853.12,876.02,13431.15532,20180103075959.0,11680695.6193941,16001.0,8125.88811,7069044.0173643
2018-01-03 08:00:00,20180103080000.0,876.03,877.66,820.0,863.02,18973.02167,20180103115959.0,16184238.3707775,23311.0,9537.62977,8133521.7624476
2018-01-03 12:00:00,20180103120000.0,863.3,876.0,810.0,876.0,13362.3231,20180103155959.0,11528541.7806362,19067.0,6202.69054,5373421.3052664
2018-01-03 16:00:00,20180103160000.0,876.0,945.0,859.84,917.64,16569.8271,20180103195959.0,14840119.9154683,23858.0,8867.71279,7938381.0577543
2018-01-03 20:00:00,20180103200000.0,917.64,950.01,904.04,934.03,12979.12916,20180103235959.0,12058331.7360205,18072.0,6750.1555,6263304.6484791
2018-01-04 00:00:00,20180104000000.0,934.03,935.19,900.02,927.57,13290.75778,20180104030014.0,12242576.9375852,18649.0,5829.00948,5371928.3111332
2018-01-04 04:00:00,20180104040000.0,927.18,945.0,917.03,938.29,11534.09014,20180104075959.0,10769675.2341456,15181.0,5830.38596,5447085.5938607
2018-01-04 08:00:00,20180104080000.0,936.81,949.99,890.01,949.99,19592.0857,20180104115959.0,18108089.8802114,22573.0,11044.9236,10210331.3587453
2018-01-04 12:00:00,20180104120000.0,949.99,1009.72,919.5,989.95,24304.07256,20180104155959.0,23633717.008008,30028.0,14841.67948,14459777.6460511
2018-01-04 16:00:00,20180104160000.0,989.95,998.0,945.0,951.0,19056.87628,20180104195959.0,18713453.2574172,22952.0,12191.59911,11995390.1276481
2018-01-04 20:00:00,20180104200000.0,951.0,975.0,910.0,940.0,15116.59138,20180104235959.0,14272574.2729383,23250.0,6760.06266,6387174.7354463
2018-01-05 00:00:00,20180105000000.0,940.0,1004.37,930.1,1003.01,16021.62237,20180105035959.0,15650263.0742621,22044.0,8525.86936,8335165.8822925
2018-01-05 04:00:00,20180105040000.0,1003.01,1045.0,1000.0,1030.0,16918.14479,20180105075959.0,17206669.113411,21081.0,9214.05696,9379976.5116937
2018-01-05 08:00:00,20180105080000.0,1029.12,1030.0,970.96,995.98,20181.22733,20180105115959.0,20130001.6021249,24868.0,8902.35836,8886532.0190046
2018-01-05 12:00:00,20180105120000.0,995.9,999.99,974.0,981.5,14520.13088,20180105155959.0,14301330.4492281,17095.0,7139.67373,7034146.7019127
