TimeStamp,Close,TradeVolume,TradeCount
2018-01-01,13380.0,8609.915844,105595
2018-01-02,14675.11,20078.092111,177728
2018-01-03,14919.51,15905.667639,162787
2018-01-04,15059.54,21329.649574,170310
2018-01-05,16960.39,23251.491125,192969
2018-01-06,17069.79,18571.457508,158242
2018-01-07,16150.03,12493.125558,120269
2018-01-08,14902.54,26600.609912,208642
2018-01-09,14400.0,14315.004253,156656
2018-01-10,14907.09,17411.001655,161476
2018-01-11,13238.78,33554.723751,239416
2018-01-12,13740.01,16417.162137,134452
2018-01-13,14210.0,12221.508528,123639
2018-01-14,13474.99,17017.894329,152364
2018-01-15,13539.93,14652.094705,145362
2018-01-16,10900.0,63401.169175,418243
2018-01-17,10988.79,72331.796646,517293
2018-01-18,10961.97,48464.434937,393112
2018-01-19,11474.98,34129.375421,273271
2018-01-20,12799.94,28768.857827,251647
2018-01-21,11530.0,41379.773426,360207
2018-01-22,10760.05,43752.606791,363264
2018-01-23,10799.18,37473.922552,355286
2018-01-24,11349.99,27158.587762,293429
2018-01-25,11175.27,20839.954183,221040
2018-01-26,11089.0,33056.87196,314720
2018-01-27,11491.0,18860.768345,207478
2018-01-28,11879.95,16887.339524,206247
2018-01-29,11251.0,14170.377538,169199
2018-01-30,10237.51,25554.372946,259212
2018-01-31,10285.1,18015.956805,201422
2018-02-01,9224.52,33564.764311,316020
2018-02-02,8873.03,49971.626975,453411
2018-02-03,9199.96,28725.000735,327519
2018-02-04,8184.81,32014.308449,356134
2018-02-05,6939.99,63403.182579,533510
2018-02-06,7652.14,100201.500307,785996
2018-02-07,7599.0,60778.460497,514893
2018-02-08,7784.02,1521.537318,12417
2018-02-09,8683.92,20482.910825,273091
2018-02-10,8533.98,49381.512653,537578
2018-02-11,8063.88,45025.187952,524626
2018-02-12,8903.0,41987.85049,477660
2018-02-13,8539.9,35454.972956,401893
2018-02-14,9449.99,40811.952867,514897
2018-02-15,10000.09,52427.596715,608349
2018-02-16,10159.98,38161.205974,405310
2018-02-17,11039.55,41882.108407,413585
2018-02-18,10383.43,61137.380728,537534
2018-02-19,11153.0,40831.417131,366882
2018-02-20,11200.99,48153.354288,432197
2018-02-21,10437.6,68113.818754,542340
2018-02-22,9811.04,67060.166483,506273
2018-02-23,10131.04,57202.70237,467480
2018-02-24,9694.51,40888.156299,337918
2018-02-25,9590.0,28373.517586,233567
2018-02-26,10324.0,34878.292756,285276
2018-02-27,10569.04,30705.385123,240542
2018-02-28,10326.76,30800.983782,277886
2018-03-01,10920.0,25092.55393,230428
2018-03-02,11039.0,23910.71009,211691
2018-03-03,11464.48,21287.15328,190444
2018-03-04,11515.0,17295.918653,168359
2018-03-05,11454.0,15144.231063,164318
2018-03-06,10716.48,29515.572363,250306
2018-03-07,9910.0,50647.67108,396721
2018-03-08,9271.64,41109.473226,336514
2018-03-09,9227.0,64112.291407,462712
2018-03-10,8770.22,37180.012857,288066
2018-03-11,9533.57,44325.973386,333367
2018-03-12,9131.34,42230.77793,336642
2018-03-13,9150.0,40191.409358,342734
2018-03-14,8170.0,49708.094108,399127
2018-03-15,8240.98,52291.022277,400529
2018-03-16,8260.0,38815.409893,255807
2018-03-17,7824.8,33110.206329,292041
2018-03-18,8189.99,59488.231711,423336
2018-03-19,8600.0,55297.084942,360414
2018-03-20,8909.98,44865.105835,298261
2018-03-21,8885.0,39972.405371,293696
2018-03-22,8722.9,40617.556809,276449
2018-03-23,8898.03,39991.007666,278571
2018-03-24,8546.86,35466.609572,270300
2018-03-25,8470.15,29001.769316,215660
2018-03-26,8134.23,44033.59566,310462
2018-03-27,7795.51,37427.64805,266540
2018-03-28,7949.3,26401.33167,183620
2018-03-29,7090.14,54620.915125,359537
2018-03-30,6840.23,65306.031976,400057
2018-03-31,6923.91,36868.539087,240293
2018-04-01,6813.01,44071.430463,260942
2018-04-02,7056.0,32123.560072,206780
2018-04-03,7405.21,37787.331811,248143
2018-04-04,6796.1,42227.183804,277249
2018-04-05,6770.76,39029.73146,238476
2018-04-06,6601.39,27455.01192,162456
2018-04-07,6895.8,32269.578267,178577
2018-04-08,7018.0,21427.673165,152461
2018-04-09,6782.72,34078.297206,212669
2018-04-10,6843.9,22326.728095,147755
2018-04-11,6953.79,23997.871177,155607
2018-04-12,7923.0,64861.595987,404588
2018-04-13,7877.41,55044.523148,351905
2018-04-14,7999.01,31621.286357,194500
2018-04-15,8355.0,27946.720444,181778
2018-04-16,8064.92,36664.069715,226748
2018-04-17,7885.02,32152.603567,221228
2018-04-18,8173.0,26969.04457,183472
2018-04-19,8278.0,27113.847464,196821
2018-04-20,8856.98,39795.337485,289687
2018-04-21,8915.31,40872.229909,295374
2018-04-22,8787.02,29458.25348,229871
2018-04-23,8934.01,25838.114709,190944
2018-04-24,9619.99,46268.790106,326608
2018-04-25,8869.99,81110.037589,477363
2018-04-26,9266.0,43300.304245,285850
2018-04-27,8915.35,37241.347036,268471
2018-04-28,9348.0,34759.62842,257288
2018-04-29,9419.0,38149.850035,311494
2018-04-30,9246.01,35002.033875,285951
2018-05-01,9071.48,41018.463633,268741
2018-05-02,9247.84,26123.543961,188258
2018-05-03,9750.0,38768.388288,282581
2018-05-04,9713.99,28681.588879,210165
2018-05-05,9864.0,24990.018345,212076
2018-05-06,9659.01,27690.351559,229309
2018-05-07,9365.0,33787.640012,230754
2018-05-08,9187.56,25533.831889,189159
2018-05-09,9310.0,25673.524899,192337
2018-05-10,9002.2,25055.063718,221075
2018-05-11,8400.0,48227.048061,365538
2018-05-12,8465.94,40241.32081,310305
2018-05-13,8679.71,25632.869362,215590
2018-05-14,8663.34,37389.666533,292731
2018-05-15,8462.0,28126.956136,360379
2018-05-16,8330.0,31130.718908,300842
2018-05-17,8041.46,25439.844799,310780
2018-05-18,8239.81,23476.158251,183913
2018-05-19,8233.49,17193.424276,134185
2018-05-20,8526.98,19957.057109,161265
2018-05-21,8381.24,21516.596486,184158
2018-05-22,7977.11,23710.902858,192154
2018-05-23,7501.95,42910.666774,306812
2018-05-24,7575.01,37845.446595,253694
2018-05-25,7457.0,26739.95664,239025
2018-05-26,7333.96,19464.086071,212344
2018-05-27,7338.99,18706.945515,198341
2018-05-28,7099.0,27219.438963,233392
2018-05-29,7461.29,39407.21183,237359
2018-05-30,7375.96,32041.583623,242079
2018-05-31,7485.01,30776.063102,274399
2018-06-01,7521.01,28259.124078,303069
2018-06-02,7640.03,26720.690219,290131
2018-06-03,7714.26,27505.158951,349636
2018-06-04,7487.0,32258.835115,307003
2018-06-05,7625.0,31722.973384,236865
2018-06-06,7658.84,27229.991898,257573
2018-06-07,7691.08,25062.227202,244186
2018-06-08,7603.44,23396.804671,321734
2018-06-09,7491.73,19339.885176,278971
2018-06-10,6764.99,52342.020032,471088
2018-06-11,6872.0,34552.162303,203442
2018-06-12,6530.0,36722.211191,224658
2018-06-13,6292.78,46185.5181,266517
2018-06-14,6635.98,44478.130837,256384
2018-06-15,6388.9,30018.329905,184938
2018-06-16,6483.98,22277.241147,140470
2018-06-17,6449.61,19847.247688,129759
2018-06-18,6712.46,31821.434995,180773
2018-06-19,6741.21,24311.421143,160490
2018-06-20,6761.51,26359.752452,166074
2018-06-21,6718.84,25428.854048,159783
2018-06-22,6045.0,52157.370833,300515
2018-06-23,6149.98,26622.788589,170164
2018-06-24,6136.97,47445.998955,275996
2018-06-25,6252.0,39164.515306,218384
2018-06-26,6070.78,19377.240484,113431
2018-06-27,6133.73,19225.671098,99481
2018-06-28,5853.98,30585.266026,156241
2018-06-29,6197.92,33911.287278,212542
2018-06-30,6390.07,37919.61284,230915
2018-07-01,6356.81,27562.965974,183060
2018-07-02,6615.29,36230.452264,242589
2018-07-03,6513.86,38657.781691,232914
2018-07-04,6586.98,23571.892777,146203
2018-07-05,6529.2,35071.972898,216533
2018-07-06,6609.78,29397.094748,193854
2018-07-07,6756.98,23973.876886,145449
2018-07-08,6712.1,24622.947794,145349
2018-07-09,6662.12,26732.40655,147315
2018-07-10,6296.91,38560.672702,189913
2018-07-11,6378.07,28715.498487,151869
2018-07-12,6250.57,31306.663348,150985
2018-07-13,6214.57,26375.325286,144757
2018-07-14,6251.99,17783.071999,108052
2018-07-15,6353.01,22979.211508,114997
2018-07-16,6723.35,36204.87708,201733
2018-07-17,7317.44,52105.423459,276178
2018-07-18,7381.9,59487.64345,327949
2018-07-19,7466.21,41218.256437,235597
2018-07-20,7337.53,46140.313447,251391
2018-07-21,7398.78,28886.490291,164901
2018-07-22,7394.79,30270.21844,144711
2018-07-23,7721.01,41646.346671,219776
