TimeStamp,TimeStamp,TotalMarketValue
126,2019-02-12 16:40:34,62764116337.5
127,2019-02-13 13:35:53,62812743075.0
128,2019-02-14 04:02:25,62703498806.25
129,2019-02-14 21:54:02,62646941550.0
130,2019-02-15 19:12:11,62537666643.75
131,2019-02-16 14:21:18,63191407468.75
132,2019-02-17 04:28:07,62889235125.0
133,2019-02-17 20:31:17,62630830500.0
134,2019-02-18 12:46:58,65118174712.5
135,2019-02-19 05:02:23,67921824075.0
136,2019-02-19 22:33:00,68580087312.1169
137,2019-02-20 17:49:07,68704237125.0
138,2019-02-21 14:05:20,68560295781.25
139,2019-02-22 08:07:43,68337349275.0
140,2019-02-23 00:32:16,69027074187.5
141,2019-02-23 16:42:05,68909404650.0
142,2019-02-24 12:01:28,72539894150.0
143,2019-02-25 06:01:01,66330204325.0
144,2019-02-26 00:35:09,66976087668.75
145,2019-02-26 17:26:07,66603657625.0
146,2019-02-27 12:54:37,66880878075.0
147,2019-02-28 04:28:33,66736645000.0
148,2019-02-28 21:19:03,66759291112.5
149,2019-03-01 11:04:23,66966324218.75
150,2019-03-02 05:05:44,66725448106.25
151,2019-03-03 00:15:59,66932603625.0
152,2019-03-03 17:22:18,66533566312.5
153,2019-03-04 11:42:59,65089037431.25
154,2019-03-05 06:35:56,65129089068.75
155,2019-03-05 23:27:49,67365760068.75
156,2019-03-06 19:44:57,67572991250.0
157,2019-03-07 12:41:01,67727478262.5
158,2019-03-08 07:51:02,67890921093.75
159,2019-03-09 02:03:13,67711467150.0
160,2019-03-09 20:37:18,68437431462.5
161,2019-03-10 13:35:18,68310732656.25
162,2019-03-11 10:23:00,67867533250.0
163,2019-03-12 04:45:03,66984676581.25
164,2019-03-12 21:25:34,67825055725.0
165,2019-03-13 16:29:11,67601545000.0
166,2019-03-14 12:18:48,67650607237.5
167,2019-03-15 03:05:38,67963509600.0
168,2019-03-15 18:39:07,68470048125.0
169,2019-03-16 12:10:05,70524724400.0
170,2019-03-17 03:13:14,69755997187.5
171,2019-03-17 20:06:31,69726062287.5
172,2019-03-18 14:52:39,69687324293.75
173,2019-03-19 05:23:37,69859841875.0
174,2019-03-19 19:57:15,70243514662.5
175,2019-03-20 12:15:35,70380950362.5
176,2019-03-21 04:47:20,70896676950.0
