Dates,auto_BTCUSDT,auto_ETHUSDT,auto_SP500,auto_NSDQ,auto_GOLD,auto_TNX,macd_BTCUSDT,macd_ETHUSDT,macd_SP500,macd_NSDQ,macd_GOLD,macd_TNX,boll_BTCUSDT,boll_ETHUSDT,ETHUSDT,BTCUSDT,SP500,TNX,NSDQ,GOLD
49.0,0.9979015,0.9977275,0.99986875,1.0003514,1.0006908,0.9971298,0.7363457,1.0026729,0.9789684,0.9926375,1.0281112,0.9611155,0.9752894,1.2803758,1.2544996496606962,0.7829214241817448,1.013506111824647,0.8567952210441904,1.0331916133727281,1.0300677487007321
50.0,1.0012767,0.9987054,0.999663,1.000326,1.0000409,0.99695015,0.7363457,1.0026729,0.9789684,0.9926375,1.0095731,0.9611155,1.0612252,1.313211,1.2866712015773911,0.8519070707844546,1.0075858279060441,0.8520566550394767,1.0324551741025918,1.0114943276375858
51.0,0.99942046,0.99613965,0.99944276,1.0002356,1.0000774,0.99631554,0.7363457,1.0026729,0.9789684,0.9926375,1.0104848,0.9611155,1.0139647,1.2270586,1.2022600375202093,0.8139683223065524,1.0020476292510494,0.837580678598678,1.0301602821604905,1.012407741062626
52.0,0.998678,0.9949085,0.99948156,1.0001897,1.0000956,0.9966428,0.7363457,1.0026729,0.9789684,0.9926375,1.0109406,0.9611155,0.99506086,1.1857195,1.1617562934766423,0.7987931142085445,1.0030231738017927,0.845046254334117,1.0289985506055659,1.012864447775146
53.0,0.99538,0.9941951,1.0001209,1.0009063,1.0000226,0.9972364,0.7363457,1.0026729,0.9789684,0.9926375,1.0091171,0.9611155,0.9110897,1.1617635,1.1382845572828029,0.7313846015593942,1.019100006719774,0.8585858014481853,1.0471663986900188,1.0110375280040662
54.0,0.9975403,0.9954345,1.0001209,1.0009063,1.0000226,0.9972364,0.7363457,1.0026729,0.9789684,0.9926375,1.0091171,0.9611155,0.96609294,1.2033807,1.1790606120234854,0.7755388905124436,1.019100006719774,0.8585858014481853,1.0471663986900188,1.0110375280040662
55.0,0.9944719,0.99402666,1.0001209,1.0009063,1.0000226,0.9972364,0.7363457,1.0026729,0.9789684,0.9926375,1.0091171,0.9611155,0.8879704,1.156108,1.1327433628318584,0.7128253680798486,1.019100006719774,0.8585858014481853,1.0471663986900188,1.0110375280040662
56.0,0.994585,0.99456465,1.0005974,1.0013797,1.0000987,0.9973944,0.7363457,1.0026729,0.9789684,0.9926375,1.0110166,0.9611155,0.8908492,1.1741723,1.1504424778761062,0.7151363423090706,1.0310815811356564,0.8621895887747785,1.0591645469996058,1.0129405500737327
57.0,0.99742407,0.9957202,1.0000122,1.0008048,0.99957836,0.9966724,0.7363457,1.0026729,0.9789684,0.9926375,0.9994682,0.9611155,0.9540168,1.2080774,1.1836623885827944,0.7658446543810381,1.0179797425076784,0.8476616007262818,1.046161669186156,1.0013702130585598
58.0,1.0001376,0.99651635,0.99950767,1.0004429,0.99957836,0.9972599,0.7363457,1.0026729,0.9789684,0.98487276,0.9994682,0.9611155,1.0143883,1.2314358,1.2065487024814925,0.8143084070626646,1.0066844544458189,0.8594839566963696,1.037978259571289,1.0013702130585598
59.0,0.9977833,0.9950496,0.9989085,0.99985945,0.999147,0.99823487,0.7363457,1.0026729,0.9789684,0.9723537,0.9898952,0.9611155,0.9620084,1.1884012,1.164383921353812,0.7722600219591343,0.9932709885620752,0.8791012952506496,1.0247841639912556,0.99177900041164
60.0,1.0009645,0.9958959,0.9991335,1.0003474,0.99977005,0.99742436,0.7363457,1.0026729,0.9789684,0.98282266,1.0037229,0.9611155,1.0327877,1.2132325,1.188713390539908,0.8290786448547325,0.99830846443383,0.862793085042064,1.0358175824318259,1.005632963910413
61.0,1.0018247,0.99549,0.9991335,1.0003474,0.99977005,0.99742436,0.7363457,1.0026729,0.9789684,0.98282266,1.0037229,0.9611155,1.0519266,1.2013241,1.1770455793428778,0.8444425380925876,0.99830846443383,0.862793085042064,1.0358175824318259,1.005632963910413
62.0,1.0011525,0.9945637,0.9991335,1.0003474,0.99977005,0.99742436,0.7363457,1.0026729,0.9789684,0.98282266,1.0037229,0.9611155,1.0369707,1.1741444,1.1504152218771273,0.8324365994990778,0.99830846443383,0.862793085042064,1.0358175824318259,1.005632963910413
63.0,1.0028435,0.99561036,0.99962544,1.000807,0.99966735,0.99706715,0.76328975,1.0026729,0.9789684,0.9926862,1.0037229,0.9611155,1.0745955,1.2048537,1.1805037673108834,0.8626401311226999,1.009321829901328,0.8556056391749078,1.0462130276023265,1.0033493374268132
64.0,1.0015153,0.9944945,0.9997577,1.0010961,1.0002574,0.9971333,0.7442854,1.0026729,0.9789684,0.9982788,1.0037229,0.9611155,1.0478402,1.1757008,1.151940062063904,0.8411621402502252,1.0119852874985578,0.8567952210441904,1.0521071898228664,1.015148074258746
65.0,0.99895567,0.9926623,0.9997334,1.0012686,0.99996805,0.9970342,0.7076637,1.0026729,0.9789684,1.0016154,1.0037229,0.9611155,0.99628246,1.1278307,1.1050374736746937,0.799773752608075,1.0114956134003523,0.8550121338379145,1.055623743086387,1.0093629057511595
66.0,0.99330634,0.98843783,0.9999576,1.0014876,0.9997359,0.9973161,0.6268356,1.0026729,0.9789684,1.005854,1.0037229,0.9611155,0.8824887,1.0174584,0.9968958076284887,0.7084249480642514,1.0160099974298222,0.8600837063647956,1.0600908103208257,1.0047195504853728
67.0,0.9907838,0.98555046,1.0008346,1.0024177,0.999831,0.9968535,0.59074366,1.0026729,0.9789684,1.0238452,1.0037229,0.9611155,0.8316769,0.94201964,0.9229816101780548,0.6676353134980659,1.0336670639967007,0.8517622164467462,1.07905210063936,1.0066225725550395
68.0,0.9919689,0.988248,1.0008346,1.0024177,0.999831,0.9968535,0.6077006,1.0026729,0.9789684,1.0238452,1.0037229,0.9611155,0.85554963,1.0124978,0.9920354314691117,0.6867993443865006,1.0336670639967007,0.8517622164467462,1.07905210063936,1.0066225725550395
69.0,0.9892342,0.98552597,1.0007691,1.0026102,0.9997168,0.9972495,0.5685728,1.0026729,0.9789684,1.0275704,1.0037229,0.9611155,0.80046374,0.9413804,0.9223553038844452,0.6425787134178583,1.0323501875287877,0.8588850151178937,1.0829781972025203,1.0043389460714396
70.0,0.99376714,0.98816025,1.0004429,1.002069,0.99996424,0.9976184,0.6334286,1.0026729,0.9789684,1.0171015,1.0037229,0.9611155,0.89177066,1.010205,0.989788972089857,0.7158760812710809,1.0257807480829173,0.8655196539964529,1.07194477876195,1.0092868034525726
71.0,0.991739,0.98662627,1.0001223,1.0019602,0.9999015,0.9982036,0.6025104,1.0026729,0.9789684,1.0151787,1.0037229,0.9611155,0.8551009,0.9747575,0.9550578491958815,0.6864391604028323,1.019908643676104,0.8750443163874911,1.0699182467393504,1.0081449902107726
72.0,0.9910955,0.9859173,1.0000788,1.0018445,0.99958324,0.99803233,0.6025104,1.0026729,0.9782029,1.0131379,1.0037229,0.9611155,0.84346604,0.9583747,0.9390061432362576,0.6770991367454587,1.0191111459678006,0.8722575814631806,1.0677675346657114,1.0023598217031862
73.0,0.9849765,0.98000574,1.0001736,1.0018464,0.99935293,0.9976184,0.6025104,1.0026729,0.9798692,1.0131718,1.0037229,0.9611155,0.73283166,0.82176775,0.8051599927140062,0.5882865124497602,1.0208471479630843,0.8655196539964529,1.0678032137825084,0.9981731731499197
74.0,0.98674417,0.98100454,1.0001736,1.0018464,0.99935293,0.9976184,0.6025104,1.0026729,0.9798692,1.0131718,1.0037229,0.9611155,0.7647926,0.8448482,0.8277739959155889,0.6139434313066297,1.0208471479630843,0.8655196539964529,1.0678032137825084,0.9981731731499197
75.0,0.98650277,0.98054576,1.0001736,1.0018464,0.99935293,0.9976184,0.6025104,1.0026729,0.9798692,1.0131718,1.0037229,0.9611155,0.7604285,0.8342459,0.8173859702071987,0.6104400849672998,1.0208471479630843,0.8655196539964529,1.0678032137825084,0.9981731731499197
76.0,0.9838001,0.97549707,0.999382,1.0007896,0.99958324,0.99767447,0.6025104,1.0026729,0.96595097,0.9945184,1.0037229,0.9611155,0.7115637,0.717579,0.7030768865139976,0.5712134930483982,1.0063468356113245,0.8664322814010164,1.0481440204274093,1.0023598217031862
77.0,0.98703194,0.9773371,0.9994634,1.0009435,0.9993445,0.9970458,0.6025104,1.0026729,0.9673823,0.99723476,1.0037229,0.9611155,0.76999557,0.7600994,0.7447379302459156,0.618120138180733,1.0078380458390017,0.856200026064574,1.0510068514357116,0.9980208756317467
78.0,0.9875843,0.975954,0.99935263,1.0007846,0.9997835,0.99649054,0.6025104,1.0026729,0.96559846,0.99466056,1.0037229,0.9611155,0.7789236,0.7323917,0.7175902073849132,0.625287187740112,1.0059796026784187,0.8479531742728256,1.0482938448436463,1.0053284617950664
79.0,0.9907216,0.97900045,0.9978439,0.99929184,1.0000533,0.99800265,0.6025104,1.0026729,0.9413012,0.9704742,1.0037229,0.9611155,0.82963324,0.79342085,0.7773859635593942,0.6659947504604434,0.9806662501976537,0.8704095532100051,1.0228032761512769,1.0098196124636796
80.0,0.99086,0.97844696,0.9966184,0.9978375,1.0010912,0.9980441,0.6025104,1.0026729,0.92156506,0.9469106,1.0037229,0.9611155,0.8318701,0.78233224,0.7665214564542205,0.6677904271020315,0.9601047379116066,0.8710247300502059,0.9979691474593507,1.027099108608852
81.0,0.9876621,0.974978,0.9966184,0.9978375,1.0010912,0.9980441,0.6025104,1.0026729,0.92156506,0.9469106,1.0037229,0.9611155,0.78018045,0.7128407,0.6984343090537781,0.6262961543987706,0.9601047379116066,0.8710247300502059,0.9979691474593507,1.027099108608852
82.0,0.9907158,0.9769889,0.9966184,0.9978375,1.0010912,0.9980441,0.6025104,1.0026729,0.92156506,0.9469106,1.0037229,0.9611155,0.8295394,0.7531238,0.7379033223068414,0.6659194511803963,0.9601047379116066,0.8710247300502059,0.9979691474593507,1.027099108608852
83.0,0.9880522,0.97530264,0.99817246,0.999742,1.0013244,0.99777585,0.6025104,1.0026729,0.92156506,0.9777676,1.0037229,0.9611155,0.7864861,0.7193438,0.7048059804980004,0.631358028341513,0.986178547836912,0.8670418016115664,1.0304899655619868,1.0309812550467718
84.0,0.9877036,0.9752555,0.997157,0.99797237,1.0007254,0.9989703,0.6025104,1.0026729,0.92156506,0.9490962,1.0037229,0.9611155,0.780852,0.71839887,0.7038801906058543,0.6268352652016611,0.9691410226988895,0.8847809921963489,1.0002726107517763,1.0210094379859187
85.0,0.9846008,0.97112864,0.99697375,0.99743146,0.9998791,0.9992265,0.6025104,1.0026729,0.92156506,0.94102824,1.0037229,0.9611155,0.7354466,0.6459337,0.6328795181804161,0.5903856801451164,0.9663143705899219,0.8882882495052653,0.9917695524870122,1.0079926926925997
86.0,0.9843272,0.97015136,0.9978362,0.9984684,0.99980986,1.0000314,0.6025104,1.0026729,0.92156506,0.9564953,1.0026617,0.9611155,0.7314429,0.62877274,0.6160653505786249,0.587171697141635,0.9796202476390681,0.8993067763631633,1.0080706580309267,1.006927074670386
87.0,0.9822196,0.96714115,0.9978362,0.9984684,0.99980986,1.0000314,0.6025104,1.0026729,0.92156506,0.9564953,1.0026617,0.9611155,0.70060134,0.5759141,0.5642750053847218,0.5624133448384419,0.9796202476390681,0.8993067763631633,1.0080706580309267,1.006927074670386
88.0,0.98019,0.9664432,0.9978362,0.9984684,0.99980986,1.0000314,0.6025104,1.0026729,0.92156506,0.9564953,1.0026617,0.9611155,0.67090046,0.5636583,0.5522668681394656,0.5385707453849515,0.9796202476390681,0.8993067763631633,1.0080706580309267,1.006927074670386
89.0,0.9775461,0.9653685,0.9978362,0.9984684,0.99980986,1.0000314,0.6025104,1.0026729,0.92156506,0.9564953,1.0026617,0.9611155,0.6322112,0.5447881,0.5337780770028506,0.5075126324737539,0.9796202476390681,0.8993067763631633,1.0080706580309267,1.006927074670386
90.0,0.9769624,0.9641997,0.9964179,0.9967133,1.0007651,1.0002477,0.6025104,1.0026729,0.92156506,0.9564953,1.0172908,0.9611155,0.6236697,0.52426445,0.5136691743293694,0.5006558465339501,0.9577380552394404,0.9022693810457066,0.980479272279814,1.0216183492956123
91.0,0.9791614,0.9651224,0.99720097,0.9973593,1.0003048,0.99901676,0.6025104,1.0026729,0.92156506,0.9564953,1.0102416,0.9611155,0.6558489,0.54046667,0.5295439240395252,0.5264880146339854,0.969819792324569,0.8854166651361933,0.9906349286985603,1.0145391629490523
92.0,0.9815261,0.96621865,0.99798644,0.99834806,1.0004646,0.99891675,0.6025104,1.0026729,0.92156506,0.9564953,1.0125155,0.9611155,0.6869478,0.5570023,0.5457454133471962,0.5514528937826462,0.9810371962132353,0.8841463477346226,1.0050250412348152,1.0168227894326523
93.0,0.9808855,0.9664287,0.99845785,0.9986858,0.9998519,0.997835,0.6025104,1.0026729,0.92156506,0.9564953,1.0037987,0.94618285,0.6785233,0.5601705,0.5488495641699285,0.5446900498846807,0.9877699207338355,0.8704095532100051,1.009940188002465,1.008068887912186
94.0,0.97727054,0.96422887,0.99694175,0.9971027,1.0002568,0.9992429,0.6025104,1.0026729,0.92156506,0.9564953,1.0095594,0.96561795,0.6309813,0.52698797,0.5163376446562288,0.5065253307433488,0.9661177583341046,0.8882882495052653,0.9869000499019834,1.0138540564197724
95.0,0.97606647,0.96321374,0.99694175,0.9971027,1.0002568,0.9992429,0.6025104,1.0026729,0.92156506,0.9564953,1.0095594,0.96561795,0.61514574,0.5116751,0.5013342559378191,0.49381318831206616,0.9661177583341046,0.8882882495052653,0.9869000499019834,1.0138540564197724
