State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
SC,ABBEVILLE COUNTY,0.0046150251197569,22.0,0.0081785255286832,45.0,15.6,0.191,-0.61,77.65,17118,1927.0,1722.0,2137.0,1772.0,801.5,1302.0
VA,ACCOMACK COUNTY,0.0031479984685412,29.0,0.0101671842429914,51.0,19.5,0.233,1.16,76.888,23507,1437.0,2291.5,2356.0,1241.0,296.5,1001.0
ID,ADA COUNTY,0.0032645238829968,10.0,0.0068766139903526,16.0,38.5,0.116,1.87,79.915,307855,1483.0,261.5,1930.0,203.0,2054.0,2141.0
IA,ADAIR COUNTY,0.0015640273704789,13.0,0.0037145650048875,19.0,18.5,0.097,-1.59,78.133,5115,574.0,580.5,878.0,1374.0,2303.5,1495.5
KY,ADAIR COUNTY,0.0006061065232214,30.0,0.0040154557163421,21.0,18.5,0.218,0.24,76.014,13199,116.0,2344.0,1030.0,1374.0,443.0,677.0
MO,ADAIR COUNTY,0.0046542553191489,19.0,0.006353427895981,29.0,18.5,0.128,-1.11,77.72,13536,1940.0,1382.5,1816.0,1374.0,1889.5,1330.0
OK,ADAIR COUNTY,0.0069847034993364,33.0,0.0081022560592302,40.0,18.5,0.302,1.0,75.34,14317,2367.0,2471.0,2127.0,1374.0,15.0,469.0
CO,ADAMS COUNTY,0.0056282863795469,12.0,0.0090145101848853,8.0,24.3,0.195,2.48,77.978,324255,2161.0,457.5,2245.0,742.5,738.0,1435.0
IA,ADAMS COUNTY,0.0011269722013523,20.0,0.0026296018031555,19.0,24.3,0.1641391035548686,-1.0,78.1,2662,331.0,1516.5,408.0,742.5,1270.0,1482.5
ID,ADAMS COUNTY,0.0015581177937052,21.0,0.0024929884699283,16.0,24.3,0.1641391035548686,3.83,79.0,3209,569.0,1625.5,351.0,742.5,1270.0,1840.0
IL,ADAMS COUNTY,0.0049647696476964,18.0,0.0051815718157181,17.0,24.3,0.131,-2.1,77.456,46125,2015.0,1239.0,1474.0,742.5,1838.5,1224.5
MS,ADAMS COUNTY,0.0043495807362898,41.0,0.0112999417066499,28.0,24.3,0.219,0.12,73.144,22301,1855.0,2596.0,2426.0,742.5,432.5,62.0
NE,ADAMS COUNTY,0.0035509290787041,13.0,0.0041346434478062,31.0,24.3,0.121,-2.36,79.211,20558,1598.0,580.5,1075.0,742.5,1990.0,1910.0
OH,ADAMS COUNTY,0.0012640227524095,30.0,0.0029493864222889,39.0,24.3,0.202,-1.84,74.02,18987,390.0,2344.0,551.0,742.5,633.0,172.0
PA,ADAMS COUNTY,0.0018883119046957,10.0,0.002915775735192,42.0,24.3,0.119,-0.13,79.995,72022,774.0,261.5,536.0,742.5,2015.5,2156.0
WA,ADAMS COUNTY,0.0044805376645197,22.0,0.008494352655652,53.0,24.3,0.18,-1.34,78.66,10713,1898.0,1722.0,2178.0,742.5,946.0,1700.0
WI,ADAMS COUNTY,0.0023593691791878,18.0,0.0030423444679001,55.0,24.3,0.21,-2.43,77.18,16106,1050.0,1239.0,592.0,742.5,528.5,1131.0
VT,ADDISON COUNTY,0.001140833988985,9.0,0.0028717545239968,50.0,39.6,0.064,-0.28,82.04,25420,341.0,188.5,511.0,189.0,2589.5,2547.5
SC,AIKEN COUNTY,0.0063948908633526,19.0,0.0089104969380754,45.0,26.4,0.186,-0.04,77.08,118063,2291.0,1382.5,2231.0,635.0,871.5,1089.0
MN,AITKIN COUNTY,0.0014545454545454,20.0,0.002020202020202,27.0,18.1,0.108,-1.74,79.483,12375,496.0,1516.5,181.5,1430.0,2150.5,1980.0
FL,ALACHUA COUNTY,0.0089912497528178,18.0,0.0152264188253905,12.0,43.3,0.147,2.44,77.945,161824,2514.0,1239.0,2573.0,98.0,1620.0,1421.0
NC,ALAMANCE COUNTY,0.0054791029561671,22.0,0.0085008009319935,37.0,24.8,0.177,-0.96,77.94,109872,2130.0,1722.0,2179.0,709.0,997.0,1419.0
CA,ALAMEDA COUNTY,0.0087339744956347,10.0,0.0082726309882984,6.0,47.4,0.1,5.13,80.846,1172662,2500.0,261.5,2149.0,66.5,2263.5,2380.0
NY,ALBANY COUNTY,0.0052411208385793,16.0,0.0094281615085058,36.0,41.8,0.097,0.3,79.482,204918,2081.0,959.0,2287.0,146.0,2303.5,1977.5
WY,ALBANY COUNTY,0.0024211947664943,12.0,0.0088001117474507,56.0,41.8,0.095,4.91,80.912,21477,1088.0,457.5,2215.0,146.0,2334.5,2389.5
VA,ALBEMARLE COUNTY,0.0014533090201132,7.0,0.0050317397205807,51.0,55.1,0.085,-0.02,81.025,72937,495.0,78.5,1422.0,25.0,2438.5,2408.0
MI,ALCONA COUNTY,0.001526896875734,27.0,0.0017618040873854,26.0,16.9,0.14,0.35,76.475,8514,537.0,2172.0,120.0,1594.5,1715.5,847.0
IL,ALEXANDER COUNTY,0.0204580831665554,39.0,0.0066711140760507,17.0,12.9,0.286,0.95,74.475,4497,2641.0,2573.0,1890.0,2228.0,43.0,259.0
NC,ALEXANDER COUNTY,0.0026838632720766,17.0,0.0027956909084131,37.0,12.9,0.175,1.17,77.171,26827,1212.0,1093.5,467.0,2228.0,1025.5,1126.0
OK,ALFALFA COUNTY,0.0018302447952413,19.0,0.0016014641958361,40.0,21.8,0.1641391035548686,-0.17,78.767,4371,734.0,1382.5,90.0,954.0,1270.0,1746.5
MI,ALGER COUNTY,0.0028604118993135,17.0,0.0010011441647597,26.0,17.4,0.107,-0.91,81.2,6992,1289.0,1093.5,18.0,1513.0,2166.0,2437.5
IA,ALLAMAKEE COUNTY,0.0006203473945409,16.0,0.0023779983457402,19.0,17.8,0.118,-0.27,79.88,9672,121.5,959.0,306.0,1480.5,2026.5,2127.0
MI,ALLEGAN COUNTY,0.0035554201109798,16.0,0.004850608865694,26.0,22.6,0.141,-0.52,79.578,78753,1600.0,959.0,1365.0,894.0,1703.0,2012.0
MD,ALLEGANY COUNTY,0.0045071212515774,21.0,0.0048476593016966,24.0,18.9,0.146,1.26,76.322,49921,1907.0,1625.5,1363.0,1304.5,1632.5,789.0
NY,ALLEGANY COUNTY,0.003062787136294,27.0,0.0052600039949397,36.0,18.9,0.137,-0.9,81.267,30038,1391.0,2172.0,1511.0,1304.5,1759.5,2448.0
NC,ALLEGHANY COUNTY,0.0016625103906899,26.0,0.0042750267189169,37.0,17.3,0.171,1.47,79.033,8421,634.0,2095.0,1139.0,1529.5,1088.5,1850.5
VA,ALLEGHANY COUNTY,0.0027609547559672,19.0,0.0029390808692554,51.0,17.3,0.1641391035548686,1.77,76.783,11228,1251.0,1382.5,544.0,1529.5,1270.0,962.0
PA,ALLEGHENY COUNTY,0.0054960104125403,14.0,0.0064059758927055,42.0,41.6,0.095,0.47,77.236,883550,2132.0,707.5,1827.0,150.0,2334.5,1153.0
IN,ALLEN COUNTY,0.0044903939412699,13.0,0.010528488000165,18.0,28.5,0.162,-2.97,77.328,242295,1901.0,580.5,2381.0,560.5,1397.5,1186.0
KS,ALLEN COUNTY,0.004322429906542,24.0,0.0037383177570093,20.0,28.5,0.178,-1.43,75.96,8560,1844.0,1934.5,894.5,560.5,976.0,659.0
KY,ALLEN COUNTY,0.0014566137199139,24.0,0.0040923909273774,21.0,28.5,0.187,-1.5,74.533,14417,498.0,1934.5,1059.0,560.5,857.5,271.0
OH,ALLEN COUNTY,0.0058861812133921,20.0,0.008923277171162,39.0,28.5,0.193,-2.37,76.883,69145,2215.0,1516.5,2235.0,560.5,768.5,1000.0
SC,ALLENDALE COUNTY,0.0059880239520958,47.0,0.0201701859439016,45.0,9.2,0.278,-0.27,72.5,6346,2231.0,2633.0,2622.0,2588.5,54.5,28.0
MI,ALPENA COUNTY,0.0041597731032852,18.0,0.0027889387851571,26.0,18.0,0.104,0.07,77.256,21155,1799.0,1239.0,463.0,1446.0,2203.5,1162.0
CA,ALPINE COUNTY,0.0064935064935064,30.0,0.0155844155844155,6.0,34.5,0.1641391035548686,7.41,80.4,770,2302.0,2344.0,2577.0,288.5,1270.0,2262.5
CA,AMADOR COUNTY,0.0028717610166694,13.0,0.0020795510810364,6.0,19.3,0.105,7.23,79.2,30295,1297.0,580.5,204.0,1267.5,2189.5,1905.0
VA,AMELIA COUNTY,0.0016158569427986,14.0,0.0059248087902617,51.0,17.1,0.163,-1.52,76.25,9283,603.0,707.5,1705.0,1567.0,1387.5,756.5
VA,AMHERST COUNTY,0.0018923557628834,17.0,0.0043128108084319,51.0,19.1,0.162,0.83,76.662,22723,776.0,1093.5,1155.0,1285.0,1397.5,921.0
KS,ANDERSON COUNTY,0.003444976076555,13.0,0.0024880382775119,20.0,18.1,0.17,-2.42,79.75,5225,1555.0,580.5,349.0,1430.0,1099.5,2084.5
KY,ANDERSON COUNTY,0.0013013208406532,14.0,0.0042292927321231,21.0,18.1,0.155,-0.45,75.86,15369,401.0,707.5,1120.0,1430.0,1502.0,626.0
SC,ANDERSON COUNTY,0.0085749555454318,19.0,0.008964392258292,45.0,18.1,0.223,0.71,76.521,136094,2489.0,1382.5,2239.0,1430.0,396.5,869.0
TN,ANDERSON COUNTY,0.0046254491845572,22.0,0.0049387266193679,47.0,18.1,0.137,1.36,76.488,54265,1932.0,1722.0,1397.0,1430.0,1759.5,852.0
TX,ANDERSON COUNTY,0.0057281391866517,24.0,0.0058707484610082,48.0,18.1,0.251,1.07,77.456,42073,2185.0,1934.5,1690.0,1430.0,164.5,1224.5
MO,ANDREW COUNTY,0.002623165833265,11.0,0.0037708008853184,29.0,24.9,0.132,-1.01,79.675,12199,1186.0,346.0,915.0,704.5,1825.0,2051.0
TX,ANDREWS COUNTY,0.008411214953271,13.0,0.0069158878504672,48.0,12.2,0.265,0.68,75.975,10700,2475.0,580.5,1936.0,2380.5,95.5,665.0
ME,ANDROSCOGGIN COUNTY,0.002007333458234,15.0,0.0076144849182346,23.0,22.8,0.115,-0.32,76.933,74726,845.0,836.0,2067.0,878.0,2069.0,1014.5
TX,ANGELINA COUNTY,0.0048013967699694,23.0,0.00742034046268,48.0,16.9,0.236,1.92,76.0,57275,1979.0,1834.0,2024.0,1594.5,269.5,672.5
MD,ANNE ARUNDEL COUNTY,0.0064814626610837,8.0,0.0058843855441278,24.0,41.7,0.125,0.71,78.866,393584,2301.0,128.0,1694.0,148.5,1928.5,1790.0
MN,ANOKA COUNTY,0.0018356467511567,8.0,0.0054063568698451,27.0,30.5,0.089,-2.41,80.14,238608,740.0,128.0,1569.0,474.0,2401.0,2200.0
NC,ANSON COUNTY,0.0051074224171431,31.0,0.0099927829900627,37.0,11.3,0.219,0.06,75.717,18013,2051.0,2393.0,2337.0,2450.0,432.5,575.0
NE,ANTELOPE COUNTY,0.0013645667500568,16.0,0.0013645667500568,31.0,18.4,0.078,-2.49,82.233,4397,440.0,959.0,53.0,1394.5,2519.0,2569.0
MI,ANTRIM COUNTY,0.0016040329972502,17.0,0.00269248395967,26.0,28.8,0.162,0.58,80.071,17456,599.0,1093.5,430.0,549.0,1397.5,2182.5
AZ,APACHE COUNTY,0.0017575474426572,45.0,0.0144163385169859,4.0,12.3,0.201,3.45,75.744,44949,685.0,2628.0,2557.0,2357.5,651.0,585.0
IA,APPANOOSE COUNTY,0.003145713964723,24.0,0.0040444893832153,19.0,16.3,0.139,-0.51,76.86,8901,1436.0,1934.5,1039.5,1653.0,1729.5,990.0
GA,APPLING COUNTY,0.0056966145833333,31.0,0.0065104166666666,13.0,9.8,0.265,0.06,74.05,12288,2178.0,2393.0,1850.0,2544.5,95.5,178.0
VA,APPOMATTOX COUNTY,0.0016195789094835,19.0,0.0046787835162857,51.0,20.9,0.164,-0.69,77.2,11114,607.0,1382.5,1298.0,1090.0,1374.5,1139.0
TX,ARANSAS COUNTY,0.0067680948651974,32.0,0.0058172055039713,48.0,21.9,0.212,3.71,76.32,17878,2341.0,2436.5,1677.0,945.0,505.0,787.0
CO,ARAPAHOE COUNTY,0.0047546513141518,9.0,0.0095321395702544,8.0,42.8,0.098,2.35,79.712,437887,1969.0,188.5,2296.0,121.0,2290.0,2071.0
TX,ARCHER COUNTY,0.0017924067133778,13.0,0.0021182988430829,48.0,23.9,0.138,-0.33,78.367,6137,706.0,580.5,217.0,773.5,1744.0,1584.5
CO,ARCHULETA COUNTY,0.0023675643681562,20.0,0.0021702673374765,8.0,37.2,0.142,5.58,82.05,10137,1058.0,1516.5,228.0,219.5,1690.5,2550.5
MI,ARENAC COUNTY,0.0033362598770851,26.0,0.0035118525021949,26.0,12.6,0.127,-1.04,77.0,11390,1509.0,2095.0,800.0,2310.5,1900.5,1054.0
AR,ARKANSAS COUNTY,0.0070836351927875,24.0,0.0093375191177654,5.0,15.8,0.23,-0.87,74.725,12423,2381.0,1934.5,2277.0,1749.5,328.5,299.0
VA,ARLINGTON COUNTY,0.0019944617554732,9.0,0.0061221304320177,51.0,75.3,0.087,-2.25,82.047,172979,836.0,188.5,1769.0,1.0,2421.0,2549.0
PA,ARMSTRONG COUNTY,0.0014814814814814,16.0,0.0022839506172839,42.0,16.7,0.104,0.36,77.789,48600,511.0,959.0,273.0,1608.0,2203.5,1357.0
TX,ARMSTRONG COUNTY,0.0021428571428571,17.0,0.07,48.0,16.7,0.1641391035548686,0.36,86.2,1400,923.0,1093.5,2642.0,1608.0,1270.0,2638.0
ME,AROOSTOOK COUNTY,0.0016507557677008,20.0,0.0034009546539379,23.0,19.2,0.098,-0.14,77.765,50280,625.0,1516.5,740.0,1276.5,2290.0,1343.5
NC,ASHE COUNTY,0.0010807624287679,23.0,0.0019650225977598,37.0,19.7,0.188,2.28,77.483,20356,310.0,1834.0,167.0,1211.0,842.5,1235.5
OH,ASHLAND COUNTY,0.0015216839969566,19.0,0.0034660579930678,39.0,20.9,0.141,-2.84,77.918,35487,531.0,1382.5,776.0,1090.0,1703.0,1411.0
WI,ASHLAND COUNTY,0.0039399624765478,23.0,0.0036585365853658,55.0,20.9,0.112,-0.63,77.067,10660,1741.0,1834.0,856.0,1090.0,2102.0,1084.5
AR,ASHLEY COUNTY,0.0048543689320388,25.0,0.0088392986523692,5.0,12.3,0.23,-1.12,76.233,13802,1995.0,2015.5,2220.0,2357.5,328.5,748.5
OH,ASHTABULA COUNTY,0.0011951958955223,27.0,0.0046350279850746,39.0,14.3,0.15,-0.92,75.796,68608,363.0,2172.0,1283.0,1973.5,1573.5,600.0
WA,ASOTIN COUNTY,0.0028987294930307,19.0,0.0035154804489946,53.0,21.4,0.159,1.22,77.56,16214,1312.0,1382.5,801.0,997.0,1443.5,1258.0
TX,ATASCOSA COUNTY,0.0034679138430212,19.0,0.0135534981387801,48.0,14.4,0.241,0.9,77.962,31431,1566.0,1382.5,2529.0,1962.5,232.0,1432.5
KS,ATCHISON COUNTY,0.0047360631475086,17.0,0.0045387271830291,20.0,22.0,0.176,-0.76,76.95,10135,1962.0,1093.5,1252.0,940.0,1013.5,1023.0
MO,ATCHISON COUNTY,0.0015368852459016,18.0,0.001280737704918,29.0,22.0,0.121,-0.76,76.95,3904,544.0,1239.0,42.0,940.0,1990.0,1023.0
OH,ATHENS COUNTY,0.0019467878001297,25.0,0.0121403850313649,39.0,30.2,0.137,-0.01,76.858,36984,803.0,2015.5,2477.0,491.5,1759.5,989.0
NJ,ATLANTIC COUNTY,0.0055502609976391,15.0,0.0071368234096471,34.0,28.1,0.155,-0.04,77.55,184676,2143.0,836.0,1979.0,576.5,1502.0,1253.5
OK,ATOKA COUNTY,0.0015558552017425,26.0,0.0096463022508038,40.0,15.0,0.227,3.2,77.05,9641,566.0,2095.0,2307.0,1872.5,354.5,1074.0
MO,AUDRAIN COUNTY,0.0027311522048364,24.0,0.0101280227596017,29.0,14.7,0.15,-2.43,77.129,17575,1238.0,1934.5,2351.0,1917.0,1573.5,1109.0
IA,AUDUBON COUNTY,0.0009925558312655,17.0,0.0017369727047146,19.0,17.1,0.125,-1.94,77.5,4030,274.0,1093.5,113.0,1567.0,1928.5,1241.0
OH,AUGLAIZE COUNTY,0.0007416483941699,9.0,0.0037404875532052,39.0,18.9,0.123,-3.25,78.445,31012,158.0,188.5,897.0,1304.5,1952.5,1622.0
VA,AUGUSTA COUNTY,0.0016875646446134,11.0,0.0036836088479195,51.0,22.7,0.159,-0.12,78.308,55109,650.0,346.0,866.0,890.0,1443.5,1564.0
SD,AURORA COUNTY,0.0005537098560354,14.0,0.0066445182724252,46.0,21.5,0.1641391035548686,-2.83,83.5,1806,97.0,707.5,1885.0,983.5,1270.0,2612.0
TX,AUSTIN COUNTY,0.0034593526068692,17.0,0.0038547071905114,48.0,23.9,0.166,1.38,78.867,20235,1564.0,1093.5,959.0,773.5,1157.0,1792.5
AL,AUTAUGA COUNTY,0.0039874755800572,16.0,0.0074932427007787,1.0,26.6,0.178,0.78,75.32,37367,1750.0,959.0,2039.0,623.5,976.0,461.5
NC,AVERY COUNTY,0.0022515761032722,24.0,0.0021765235664965,37.0,20.7,0.143,1.95,79.16,13324,986.0,1934.5,232.0,1113.5,1673.5,1892.0
CO,BACA COUNTY,0.0015337423312883,29.0,0.0034509202453987,8.0,21.4,0.1641391035548686,0.48,80.0,2608,542.0,2291.5,762.0,997.0,1270.0,2160.5
TX,BAILEY COUNTY,0.0028109627547434,26.0,0.0074959006793159,48.0,17.2,0.267,0.91,80.5,4269,1270.0,2095.0,2040.0,1543.5,89.0,2285.5
FL,BAKER COUNTY,0.0067138735903488,21.0,0.0074482035142932,12.0,13.2,0.291,0.65,75.95,19065,2334.0,1625.5,2029.0,2189.5,31.5,656.5
OR,BAKER COUNTY,0.0035911140805077,22.0,0.0027559712710873,41.0,13.2,0.144,2.42,77.6,11974,1621.0,1722.0,448.0,2189.5,1655.5,1279.5
AL,BALDWIN COUNTY,0.0026999841177404,14.0,0.004182328339245,1.0,31.9,0.17,1.82,77.483,151112,1224.0,707.5,1101.0,434.5,1099.5,1235.5
GA,BALDWIN COUNTY,0.0112176073837415,29.0,0.0134540291089811,13.0,31.9,0.172,2.09,75.044,28170,2594.0,2291.5,2527.0,434.5,1074.0,372.0
KY,BALLARD COUNTY,0.0010668563300142,24.0,0.004800853485064,21.0,15.9,0.1641391035548686,-0.55,75.9,5624,302.0,1934.5,1345.0,1733.5,1270.0,637.5
MD,BALTIMORE COUNTY,0.0073787589083956,11.0,0.0077576916391447,24.0,39.4,0.121,-0.37,78.077,575300,2410.0,346.0,2088.0,196.0,1990.0,1477.0
SC,BAMBERG COUNTY,0.0065536252990741,34.0,0.0149797149693123,45.0,18.8,0.219,-0.75,75.6,9613,2316.0,2497.5,2568.0,1319.0,432.5,535.0
TX,BANDERA COUNTY,0.0017155702792238,24.0,0.0020705158542356,48.0,22.8,0.144,5.83,80.34,16904,665.0,1934.5,201.0,878.0,1655.5,2248.0
GA,BANKS COUNTY,0.0027782065133508,19.0,0.0023923444976076,13.0,13.4,0.254,-1.21,76.225,12958,1258.0,1382.5,311.0,2161.5,139.0,747.0
ID,BANNOCK COUNTY,0.0039435373898942,15.0,0.0055836066782147,16.0,27.8,0.14,1.73,76.928,54266,1742.0,836.0,1618.0,584.5,1715.5,1012.0
MI,BARAGA COUNTY,0.0025632809996795,18.0,0.0022428708747196,26.0,15.8,0.178,-0.55,76.2,6242,1151.0,1239.0,258.0,1749.5,976.0,740.5
KS,BARBER COUNTY,0.0040422885572139,20.0,0.0059079601990049,20.0,20.7,0.11,-1.28,76.35,3216,1767.0,1516.5,1697.0,1113.5,2126.5,797.5
AL,BARBOUR COUNTY,0.0059006902694277,41.0,0.0106323758628367,1.0,11.6,0.238,0.19,73.971,17964,2216.0,2596.0,2387.0,2430.5,254.5,163.0
WV,BARBOUR COUNTY,0.0066595631326584,25.0,0.0028414136032676,54.0,11.6,0.148,0.22,73.95,11262,2327.0,2015.5,494.0,2430.5,1605.5,162.0
ND,BARNES COUNTY,0.0026160889470241,10.0,0.0027468933943754,38.0,29.4,0.084,-2.83,78.95,7645,1181.0,261.5,445.0,517.5,2452.0,1820.5
MA,BARNSTABLE COUNTY,0.0051611347261161,10.0,0.0032920321967984,25.0,43.4,0.059,1.52,80.427,165855,2062.0,261.5,699.0,97.0,2600.0,2271.0
SC,BARNWELL COUNTY,0.0112115478943311,39.0,0.0110013313713124,45.0,12.5,0.245,-0.21,75.74,14271,2593.0,2573.0,2411.0,2326.5,207.5,583.0
KY,BARREN COUNTY,0.0018077129084092,26.0,0.0062935190144617,21.0,16.3,0.176,-1.47,75.76,29872,719.0,2095.0,1808.0,1653.0,1013.5,590.5
WI,BARRON COUNTY,0.000588946405877,12.0,0.0039056445863426,55.0,20.6,0.115,-2.86,79.02,32261,110.0,457.5,985.0,1125.0,2069.0,1848.5
GA,BARROW COUNTY,0.0071264854870086,14.0,0.0057204491611933,13.0,19.0,0.192,-0.7,75.165,51919,2387.0,707.5,1653.0,1292.0,785.0,410.5
MI,BARRY COUNTY,0.0023372760110489,11.0,0.0037774157754326,26.0,21.1,0.114,-2.15,79.364,42357,1037.0,346.0,920.0,1050.5,2080.5,1955.5
MO,BARRY COUNTY,0.0037811745776347,30.0,0.0030571198712791,29.0,21.1,0.226,1.95,76.771,24860,1684.0,2344.0,604.0,1050.5,364.5,958.0
IN,BARTHOLOMEW COUNTY,0.0013932054442181,16.0,0.0050191119208373,18.0,33.5,0.171,-2.38,78.271,55986,456.0,959.0,1417.0,327.0,1088.5,1546.0
KS,BARTON COUNTY,0.0055994176605633,17.0,0.0049834817179013,20.0,20.9,0.143,-0.88,78.412,17859,2155.0,1093.5,1410.0,1090.0,1673.5,1603.5
MO,BARTON COUNTY,0.0042079207920792,22.0,0.005569306930693,29.0,20.9,0.209,-1.93,77.6,8080,1814.0,1722.0,1615.0,1090.0,541.5,1279.5
GA,BARTOW COUNTY,0.0067905188981422,16.0,0.0064630934586091,13.0,18.6,0.222,1.17,76.036,70245,2345.0,959.0,1841.0,1355.5,406.0,682.0
TX,BASTROP COUNTY,0.0057969970834983,24.0,0.0148525546393979,48.0,20.7,0.184,0.94,77.78,55546,2198.0,1934.5,2566.0,1113.5,893.5,1355.5
MO,BATES COUNTY,0.006839580742583,25.0,0.0026647717178895,29.0,16.1,0.176,-1.65,78.9,11258,2352.0,2015.5,422.0,1690.0,1013.5,1806.0
KY,BATH COUNTY,0.0004872107186358,29.0,0.0038976857490864,21.0,14.5,0.207,0.32,74.467,8210,70.0,2291.5,983.0,1951.0,573.0,257.0
VA,BATH COUNTY,0.0015883100381194,14.0,0.0034942820838627,51.0,14.5,0.1641391035548686,2.19,77.4,3148,588.0,707.5,793.0,1951.0,1270.0,1209.0
AR,BAXTER COUNTY,0.002360346184107,18.0,0.0030212431156569,5.0,17.9,0.16,2.64,75.262,31775,1053.0,1239.0,582.0,1463.5,1431.0,446.0
FL,BAY COUNTY,0.0070150578489232,18.0,0.005636961023996,12.0,23.7,0.177,2.15,75.826,128438,2371.0,1239.0,1630.0,797.0,997.0,612.0
MI,BAY COUNTY,0.0046622544947884,20.0,0.0055196806087725,26.0,23.7,0.125,-1.53,77.023,74642,1941.0,1516.5,1603.0,797.0,1928.5,1063.0
WI,BAYFIELD COUNTY,0.002782850682668,18.0,0.0025219584311679,55.0,31.1,0.106,-0.56,80.9,11499,1259.0,1239.0,363.0,450.5,2178.5,2385.5
TX,BAYLOR COUNTY,0.0035516969218626,25.0,0.0015785319652722,48.0,22.8,0.1641391035548686,1.7,74.4,2534,1599.0,2015.5,84.0,878.0,1270.0,239.5
SD,BEADLE COUNTY,0.0039630118890356,16.0,0.0038804491413474,46.0,20.5,0.099,-3.25,78.767,12112,1746.0,959.0,972.0,1137.0,2278.0,1746.5
ID,BEAR LAKE COUNTY,0.0027665995975855,15.0,0.0012575452716297,16.0,18.9,0.11,3.62,81.0,3976,1254.0,836.0,39.0,1304.5,2126.5,2403.0
NC,BEAUFORT COUNTY,0.0040971612525607,30.0,0.0084869768803043,37.0,20.6,0.19,0.02,75.491,34170,1776.0,2344.0,2177.0,1125.0,816.0,509.0
SC,BEAUFORT COUNTY,0.0052086451535652,18.0,0.0065407411842184,45.0,20.6,0.202,1.66,80.019,133624,2073.0,1239.0,1857.0,1125.0,633.0,2166.0
OK,BEAVER COUNTY,0.0008441193021947,16.0,0.0053460889138998,40.0,19.9,0.153,0.7,78.3,3554,200.0,959.0,1551.0,1191.0,1535.0,1558.0
PA,BEAVER COUNTY,0.003601984800778,18.0,0.0048218789667166,42.0,19.9,0.097,0.64,77.204,121322,1624.0,1239.0,1353.0,1191.0,2303.5,1144.0
UT,BEAVER COUNTY,0.0007834943849569,12.0,0.0023504831548707,49.0,19.9,0.173,2.39,80.2,3829,169.0,457.5,291.0,1191.0,1058.0,2213.0
MT,BEAVERHEAD COUNTY,0.0015615240474703,17.0,0.0071830106183635,30.0,35.4,0.131,3.5,79.8,6404,572.0,1093.5,1985.0,262.5,1838.5,2105.5
MN,BECKER COUNTY,0.0010732838191731,15.0,0.0046795174515949,27.0,25.0,0.11,-2.34,80.35,23293,305.0,836.0,1299.0,697.5,2126.5,2252.0
OK,BECKHAM COUNTY,0.0029109125372326,29.0,0.0073788248036826,40.0,16.8,0.229,-0.4,74.9,14772,1316.0,2291.5,2015.0,1601.0,336.0,334.5
PA,BEDFORD COUNTY,0.0010765177483781,14.0,0.0017847531091532,42.0,14.7,0.123,-0.67,78.582,35299,307.0,707.5,126.0,1917.0,1952.5,1670.0
TN,BEDFORD COUNTY,0.0062427817835627,19.0,0.0054624340606174,47.0,14.7,0.228,-0.55,76.333,32037,2269.0,1382.5,1584.0,1917.0,343.5,793.0
VA,BEDFORD COUNTY,0.0011289269901748,11.0,0.0028046779912155,51.0,14.7,0.117,1.39,77.669,56691,332.0,346.0,472.0,1917.0,2039.5,1310.0
TX,BEE COUNTY,0.0038166204734426,28.0,0.0099050388477441,48.0,8.9,0.291,-0.36,76.117,22009,1707.0,2236.5,2329.0,2596.5,31.5,712.0
NH,BELKNAP COUNTY,0.0032140798865097,11.0,0.0030145852728642,33.0,32.6,0.101,0.8,80.214,45114,1465.0,346.0,579.0,402.0,2248.5,2217.0
KY,BELL COUNTY,0.0024838811964908,41.0,0.0032237607018285,21.0,9.2,0.179,0.12,74.211,18922,1113.0,2596.0,673.0,2588.5,958.5,210.0
TX,BELL COUNTY,0.006500598055021,18.0,0.0158378207158694,48.0,9.2,0.2,1.26,76.746,211519,2303.0,1239.0,2580.0,2588.5,671.0,943.0
OH,BELMONT COUNTY,0.0016099538877404,16.0,0.0035776753060899,39.0,16.7,0.123,0.13,75.65,50312,600.0,959.0,822.0,1608.0,1952.5,563.0
MN,BELTRAMI COUNTY,0.0041383180192186,23.0,0.0076804376797362,27.0,29.2,0.134,-2.89,78.71,28514,1788.0,1834.0,2079.0,524.5,1798.0,1719.0
GA,BEN HILL COUNTY,0.0056446554968192,32.0,0.0106621270495475,13.0,11.2,0.268,-0.1,73.28,11161,2167.0,2436.5,2389.0,2457.0,84.5,77.0
ID,BENEWAH COUNTY,0.0033934906679006,23.0,0.0064784821841739,16.0,15.2,0.168,3.1,75.6,6483,1532.0,1834.0,1843.0,1844.0,1131.0,535.0
SD,BENNETT COUNTY,0.0084790673025967,44.0,0.0227874933757286,46.0,15.7,0.1641391035548686,0.5,76.25,1887,2483.0,2622.5,2631.0,1764.0,1270.0,756.5
VT,BENNINGTON COUNTY,0.0022366097704532,13.0,0.0032175789680204,50.0,36.2,0.113,-0.81,82.133,25485,976.0,580.5,671.0,239.0,2090.5,2558.0
