State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
MI,KENT COUNTY,0.0055311880019722,15.0,0.0091976155368664,26.0,23.7,0.132,-2.28,79.668,427937,2138.0,836.0,2264.0,797.0,1825.0,2048.0
RI,KENT COUNTY,0.0015285466413285,10.0,0.0036271998678013,44.0,23.7,0.081,1.3,78.87,121030,538.0,261.5,844.0,797.0,2484.5,1795.0
KY,KENTON COUNTY,0.0031725155293302,16.0,0.0058384949657421,21.0,31.7,0.157,-1.62,75.193,112529,1449.0,959.0,1684.0,438.0,1466.0,425.0
IA,KEOKUK COUNTY,0.0018164035210283,16.0,0.0048903171719994,19.0,18.3,0.123,-3.95,79.775,7157,726.0,959.0,1378.0,1407.0,1952.5,2097.0
CA,KERN COUNTY,0.0089196893263096,26.0,0.0129193248778818,6.0,16.4,0.194,4.84,76.831,537799,2511.0,2095.0,2504.0,1644.5,753.0,979.0
TX,KERR COUNTY,0.0032174861063099,20.0,0.0024463530725662,48.0,27.4,0.201,4.52,78.44,37607,1468.0,1516.5,332.0,592.5,651.0,1620.0
SC,KERSHAW COUNTY,0.0049327852460837,23.0,0.0069770025552716,45.0,20.3,0.189,0.27,75.38,45005,2005.0,1834.0,1954.0,1163.0,829.0,482.5
WI,KEWAUNEE COUNTY,0.0013761783527145,9.0,0.0016514140232574,55.0,19.4,0.099,0.17,81.333,14533,447.0,188.5,98.0,1256.0,2278.0,2461.0
ND,KIDDER COUNTY,0.0011235955056179,18.0,0.0022471910112359,38.0,17.7,0.1641391035548686,-1.4,84.6,1780,330.0,1239.0,261.0,1491.0,1270.0,2627.0
TX,KIMBLE COUNTY,0.0015556938394523,33.0,0.0028002489110143,48.0,22.5,0.1641391035548686,1.02,81.7,3214,565.0,2471.0,469.0,898.0,1270.0,2511.0
WA,KING COUNTY,0.004613652838896,8.0,0.0065299459889935,53.0,20.9,0.077,4.53,81.202,1567088,1926.0,128.0,1854.0,1090.0,2529.0,2441.0
VA,KING GEORGE COUNTY,0.0015550308126475,8.0,0.0061049357829868,51.0,36.0,0.181,-0.17,78.86,17363,564.0,128.0,1760.0,242.5,934.5,1787.5
VA,KING WILLIAM COUNTY,0.0010432061201425,10.0,0.0044336260106059,51.0,21.0,0.153,-0.06,75.925,11503,295.0,261.5,1206.0,1071.0,1535.0,644.0
OK,KINGFISHER COUNTY,0.0015727907205347,11.0,0.00373537796127,40.0,22.4,0.124,-0.77,80.7,10173,577.0,346.0,892.0,905.0,1940.5,2336.0
KS,KINGMAN COUNTY,0.0025,17.0,0.0034615384615384,20.0,24.4,0.142,-0.77,78.767,5200,1123.5,1093.5,770.0,734.0,1690.5,1746.5
CA,KINGS COUNTY,0.0071892892505058,22.0,0.010471824013087,6.0,14.7,0.209,3.48,78.425,92916,2392.0,1722.0,2373.0,1917.0,541.5,1613.5
NY,KINGS COUNTY,0.0086476764179352,25.0,0.0121646041251579,36.0,14.7,0.133,-0.17,80.061,1780247,2492.0,2015.5,2479.0,1917.0,1811.0,2180.0
KS,KIOWA COUNTY,0.0006184291898577,17.0,0.0043290043290043,20.0,21.4,0.1641391035548686,-2.08,80.8,1617,119.0,1093.5,1161.0,997.0,1270.0,2363.0
OK,KIOWA COUNTY,0.0027557140541416,30.0,0.0038904198411411,40.0,21.4,0.23,1.99,72.2,6169,1247.0,2344.0,978.0,997.0,328.5,15.0
CO,KIT CARSON COUNTY,0.003078106964217,20.0,0.0036552520200076,8.0,18.7,0.128,-0.01,80.033,5198,1400.0,1516.5,855.0,1337.5,1889.5,2171.5
WA,KITSAP COUNTY,0.0036955674833347,9.0,0.0064604796121547,53.0,33.2,0.108,2.61,79.381,184816,1656.0,188.5,1838.0,380.5,2150.5,1961.0
WA,KITTITAS COUNTY,0.0017214790374063,12.0,0.0082487537209052,53.0,32.3,0.105,3.33,80.738,27883,672.0,457.5,2146.0,423.5,2189.5,2347.0
MN,KITTSON COUNTY,0.0003249918752031,12.0,0.0022749431264218,27.0,25.9,0.05,-4.9,79.95,3077,39.0,457.5,268.0,656.0,2621.5,2150.0
OR,KLAMATH COUNTY,0.0030252673739827,23.0,0.0074566449358728,41.0,20.0,0.165,5.15,77.63,46938,1370.0,1834.0,2030.0,1181.0,1168.5,1293.0
TX,KLEBERG COUNTY,0.0093115288366408,31.0,0.0146656579177093,48.0,24.6,0.225,3.15,76.58,17183,2531.0,2393.0,2561.0,717.0,374.0,890.0
WA,KLICKITAT COUNTY,0.0011779293242405,18.0,0.0032238065716057,53.0,31.5,0.153,1.97,82.733,16130,355.0,1239.0,674.0,442.0,1535.0,2600.0
KY,KNOTT COUNTY,0.000284010224368,34.0,0.0009467007478935,21.0,14.9,0.154,0.07,73.84,10563,35.0,2497.5,16.0,1883.0,1519.0,148.5
IL,KNOX COUNTY,0.0044353462981917,24.0,0.0069657682247242,17.0,18.9,0.142,-2.43,76.273,35172,1883.0,1934.5,1952.0,1304.5,1690.5,768.0
IN,KNOX COUNTY,0.0015503875968992,17.0,0.0057527539779681,18.0,18.9,0.146,-1.98,75.64,24510,555.0,1093.5,1662.0,1304.5,1632.5,558.5
KY,KNOX COUNTY,0.000999238675295,39.0,0.00685192234488,21.0,18.9,0.258,-1.49,73.475,21016,277.0,2573.0,1926.0,1304.5,122.5,101.5
ME,KNOX COUNTY,0.0006996734857066,18.0,0.0037982274938362,23.0,18.9,0.105,2.06,78.85,30014,139.0,1239.0,932.0,1304.5,2189.5,1782.0
MO,KNOX COUNTY,0.0,28.0,0.0018698578908002,29.0,18.9,0.1641391035548686,-1.47,77.35,2674,7.0,2236.5,147.0,1304.5,1270.0,1195.0
NE,KNOX COUNTY,0.0008566044200788,17.0,0.0020558506081891,31.0,18.9,0.111,-1.32,79.633,5837,205.0,1093.5,194.0,1304.5,2113.5,2036.0
OH,KNOX COUNTY,0.0017072868984288,17.0,0.002845478164048,39.0,18.9,0.148,-2.89,77.175,40415,663.0,1093.5,497.0,1304.5,1605.5,1128.0
TN,KNOX COUNTY,0.0074100257486233,16.0,0.0086682708210373,47.0,18.9,0.154,0.62,76.047,308366,2414.0,959.0,2203.0,1304.5,1519.0,685.0
TX,KNOX COUNTY,0.0037531276063386,31.0,0.0025020850708924,48.0,18.9,0.1641391035548686,0.62,77.05,2398,1678.0,2393.0,353.0,1304.5,1270.0,1074.0
MN,KOOCHICHING COUNTY,0.0018162393162393,19.0,0.0026709401709401,27.0,15.5,0.092,-4.2,78.75,9360,725.0,1382.5,425.0,1784.0,2373.0,1735.5
ID,KOOTENAI COUNTY,0.0035230327440204,13.0,0.0057799755956585,16.0,25.2,0.143,3.5,79.4,108997,1584.0,580.5,1671.0,683.0,1673.5,1964.5
IN,KOSCIUSKO COUNTY,0.002290538749858,11.0,0.0051679097414152,18.0,23.3,0.164,-2.25,77.947,52826,1006.0,346.0,1468.0,831.5,1374.5,1423.0
IA,KOSSUTH COUNTY,0.0022802850356294,14.0,0.0014251781472684,19.0,17.5,0.073,-4.47,79.75,10525,1002.0,707.5,60.0,1501.0,2552.5,2084.5
WI,LA CROSSE COUNTY,0.0021601993214588,10.0,0.0071034775233248,55.0,34.9,0.085,-0.69,79.263,75456,936.0,261.5,1972.0,283.0,2438.5,1924.0
CO,LA PLATA COUNTY,0.0024136977346441,14.0,0.0057073894350438,8.0,44.2,0.102,5.83,81.72,39773,1085.0,707.5,1644.0,94.0,2234.0,2516.0
TX,LA SALLE COUNTY,0.0013376648194152,27.0,0.0028664246130326,48.0,17.8,0.306,0.71,79.2,5233,425.0,2172.0,508.0,1480.5,12.0,1905.0
KS,LABETTE COUNTY,0.0063629790310918,22.0,0.0073029645697758,20.0,18.7,0.177,-1.05,75.15,13830,2284.0,1722.0,2002.0,1337.5,997.0,404.0
PA,LACKAWANNA COUNTY,0.002986938019358,19.0,0.0038796633150313,42.0,28.3,0.081,0.16,76.665,148982,1356.0,1382.5,971.0,571.0,2484.5,922.0
MO,LACLEDE COUNTY,0.0042551433528877,20.0,0.0060728744939271,29.0,14.6,0.196,-0.11,75.717,24206,1828.0,1516.5,1748.0,1939.5,721.0,575.0
AR,LAFAYETTE COUNTY,0.0026514378951662,37.0,0.009993881297165,5.0,15.8,0.303,-0.59,73.55,4903,1199.0,2549.5,2338.0,1749.5,13.5,113.0
